a	?:en
both	?:tous
bother	?:déranger
bottle	?:bouteille
bottom	?:fond
bough	?:branche
bouillon	?:bouillon
boulder	?:rocher
boulevard	?:boulevard
boundary	?:limite
bouquet	?:bouquet
boutique	?:magasin
bovine	?:bœuf
bow	?:arc
bowl	?:bassin
box	?:boîte
boy	?:gosse
boyscout	?:reconnaissance
bra	?:soutien‐gorge
brabant	?:Brabant
brabantine	?:Brabançon
brace	?:parenthèse
braces	?:bretelles
bracket	?:parenthèse
brag	?:faire le malin
braid	?:tisser
brain	?:cerveau
brake	?:frein
brakedown	?:panne
bramble	?:mûre sauvage
branch	?:domaine
brandish	?:agiter
brandy	?:eau‐de‐vie
brass	?:laiton
brat	?:gamin
brave	?:courageux
brazil	?:Brésil
brazilian	?:Brésilien
breach	?:brèche
bread	?:pain
break	?:repos
breakable	?:fragile
breakfast	?:petit déjeuner
breast	?:sein
breath	?:souffle
breathe	?:respirer
breed	?:race
bretagne	?:Bretagne
breton	?:Breton
bribe	?:corrompre
brick	?:brique
bride	?:accordée
bridge	?:pont
bridle	?:retenir
brief	?:court
briefcase	?:porte document
briefs	?:slip
bright	?:clair
brilliant	?:magnifique
brim	?:bord
brimstone	?:soufre
bring	?:apporter
brinjal	?:aubergine
brink	?:bord
brisk	?:actif
bristly	?:hirsute
britain	?:Grande‐Bretagne
british	?:britannique
briton	?:Britannique
brittany	?:Bretagne
brittle	?:fragile
broach	?:rencontrer
broad	?:large
broker	?:représentant
bronze	?:airain
brooklet	?:ruisselet
broom	?:balai
brothel	?:bordel
brother	?:frère
brow	?:sourcil
brown	?:brun
brownie	?:gnome
bruges	?:Bruges
brush	?:brosse
brussels	?:Bruxelles
brutal	?:maussade
bubble	?:bulle
buck	?:bouquin
bucket	?:seau
buckle	?:boucle de vêtement
buddha	?:Bouddha
buddhism	?:bouddhisme
buddhist	?:bouddhiste
buddy	?:camarade
buffalo	?:bison
buffer	?:tampon
buffet	?:bar
buffoon	?:arlequin
bug	?:insecte
build	?:poser
builder	?:bâtisseur
building	?:construction
bulb	?:ampoule
bulgar	?:Bulgare
bulgarian	?:Bulgare
bulk	?:taille
bulky	?:large
bull	?:taureau
bulldozer	?:bulldozer
bullet	?:balle
bulletin	?:bulletin
bumblebee	?:bourdon
bump	?:bosse
bumper	?:tampon
bumpy	?:accidenté
bungle	?:gâcher
bunker	?:abri
buoy	?:balise
burdensome	?:lourd
bureau	?:bureau
burgomaster	?:maire
burial	?:enterrement
burma	?:Birmanie
burmese	?:Birman
burn	?:brûler
burnt	?:brûlé
burp	?:roter
burr	?:bardane
burst	?:crever
bus	?:autobus
bush	?:arbuste
bushman	?:Boschiman
business	?:chose
businessman	?:négociant
but	?:mais
butcher	?:boucher
butter	?:beurre
butterfly	?:papillon
buttock	?:fesse
buttocks	?:derrière
button	?:bouton
buy	?:achat
buyer	?:acheteur
buzz	?:ronronner
by	?:de
bye	?:au revoir
byte	?:octet
byzantine	?:byzantin
byzantium	?:Byzance
cabbage	?:chou
cabin	?:cabine
cabinet	?:armoire
cable	?:câble
cactus	?:cactus
cadaver	?:cadavre
cadger	?:parasite
cadre	?:cadre
caesar	?:César
caesium	?:césium
café	?:café
cage	?:cage
cain	?:Caïn
cairo	?:Le Caire
cake	?:gâteau
calabria	?:Calabre
calamity	?:plaie
calamus	?:lis des marais
calcium	?:calcium
calculate	?:compter
calculation	?:note
calendar	?:calendrier
calf	?:veau
california	?:Californie
californian	?:Californien
call	?:appeler
caller	?:visiteur
calm	?:tranquille
calmness	?:repos
calvary	?:Calvaire
calvin	?:Calvin
cambodia	?:Cambodge
cambodian	?:khmer
cambric	?:batiste
camel	?:chameau
camera	?:caméra
cameroon	?:Cameroun
campaign	?:campagne
canaan	?:Chanaan
canada	?:Canada
canadian	?:Canadien
canal	?:canal
canary	?:canari
cancel	?:supprimer
cancer	?:cancer
candidate	?:candidat
candle	?:bougie
candlemas	?:Chandeleur
candy	?:friandise
cane	?:canne
canker	?:cancer
cannon	?:canon
canopy	?:baldaquin
cap	?:bonnet
capable	?:capable
cape	?:cap
caper	?:gambader
capital	?:fonds
capitol	?:Capitole
caprice	?:caprice
capricorn	?:Capricorne
captain	?:capitaine
capture	?:saisir
car	?:auto
carbon	?:carbone
card	?:carte
cardboard	?:carton
cardiac	?:cordial
care	?:soin
careful	?:prudent
careless	?:distrait
carelessness	?:négligence
caress	?:caresse
caressing	?:tendre
carnation	?:œillet
carp	?:carpe
carpathians	?:Carpates
carpet	?:tapis
carriage	?:wagon
carrot	?:carotte
carry	?:porter
cart	?:char
carthage	?:Carthage
carthaginian	?:Carthaginois
carve	?:tailler
case	?:chose
cashier	?:trésorier
cassandra	?:Cassandre
casserole	?:casserole
cassette	?:cassette
cast	?:fondre
castile	?:Castille
castilian	?:Castillan
castillian	?:castillan
castle	?:tour
cat	?:chat
catalonia	?:Catalogne
catalonian	?:Catalan
catarrh	?:rhume
catastrophe	?:catastrophe
catch	?:atteindre
category	?:catégorie
catering	?:ravitaillement
caterpillar	?:chenille
cathedral	?:cathédrale
cato	?:Caton
caucasus	?:Caucase
cauldron	?:chaudron
cauliflower	?:chou‐fleur
cause	?:cause
caution	?:avertir
cautious	?:prudent
cavalier	?:chevalier
cave	?:creux
cavity	?:creux
caw	?:croasser
cease	?:cesser
ceaselessly	?:continuellement
cedar	?:cèdre
cede	?:abandonner
ceiling	?:plafond
celebrate	?:fêter
celebration	?:fête
celebrity	?:star
celery	?:céleri
cell	?:prison
cellar	?:cave
cello	?:violoncelle
celt	?:Celte
celtic	?:celtique
cement	?:ciment
cemetery	?:cimetière
censor	?:censurer
censure	?:reprendre
centennial	?:siècle
centipede	?:myriapode
centre	?:centre
century	?:siècle
cerberus	?:Cerbère
ceremonious	?:solennel
ceremony	?:cérémonie
ceres	?:Cérès
certain	?:sûr
certainly	?:si
certainty	?:assurance
certificate	?:titre
cession	?:abandon
ceylon	?:Ceylan
ceylonese	?:Ceylanais
chad	?:Tchad
chain	?:chaîne
chair	?:siège
chairman	?:président
chaldea	?:Chaldée
chaldean	?:Chaldéen
chalk	?:craie
challenge	?:disputer
chamber	?:chambre
chamois	?:chamois
champagne	?:champagne
champion	?:champion
chance	?:chance
change	?:changer
channel	?:canal
chanson	?:chanson
chaos	?:chaos
chap	?:individu
chaperon	?:accompagnatrice
chaplain	?:aumônier
chapter	?:chapitre
character	?:nature
charge	?:plainte
chariot	?:char
charitable	?:sensible
charity	?:compassion
charlatan	?:charlatan
charlemagne	?:Charlemagne
charm	?:ravir
charming	?:gentil
charybdis	?:Charybde
chase	?:poursuivre
chasm	?:gouffre
chaste	?:continent
chat	?:bavarder
chatter	?:bavarder
chatterbox	?:bavard
chauffeur	?:chauffeur
cheat	?:tromper
cheated	?:déçu
check	?:vérifier
cheek	?:joue
cheerful	?:joyeux
cheers	?:à votre santé
cheese	?:fromage
chef	?:chef
chemist	?:pharmacien
chemistry	?:chimie
cheque	?:chèque
cherry	?:cerise
chess	?:échec
chest	?:sein
chestnut	?:marron
chew	?:mâcher
chick	?:poussin
chicken	?:poulet
chief	?:chef
chiefly	?:surtout
child	?:enfant
childbed	?:lit d'accouchement
chile	?:Chili
chilean	?:Chilien
chilly	?:froid
chimera	?:chimère
chin	?:menton
china	?:Chine
chinaman	?:Chinois
chinese	?:Chinois
chirp	?:pépier
chisel	?:tailler
chive	?:ciboulette
chlorine	?:chlore
chocolate	?:chocolat
choice	?:choix
choke	?:étouffer
cholera	?:choléra
choose	?:choisir
chop	?:tailler
chord	?:accord
chorus	?:chœur
chrestomathy	?:anthologie
christ	?:Christ
christen	?:baptiser
christening	?:baptême
christian	?:chrétien
chromium	?:chrome
chuck	?:caresse
chunk	?:boule
church	?:église
churchill	?:Rivière Churchill
churn	?:baratter
cicero	?:Cicéron
cider	?:cidre
cigar	?:cigare
cigarette	?:cigarette
cinder	?:cendre
cinderella	?:Cendrillon
cinema	?:cinéma
cipher	?:chiffre
circle	?:cercle
circular	?:circulaire
circulate	?:circuler
circulation	?:circulation
circumflex	?:accent circonflexe
circumstance	?:circonstance
circumstances	?:situation
circumvent	?:circuler
circus	?:cirque
cistern	?:citerne
citation	?:citation
cite	?:citer
citizen	?:citoyen
city	?:ville
civil	?:civil
civilian	?:civil
claim	?:prétendre à
clamp	?:parenthèse
clap	?:claquer
clarify	?:expliquer
clarion	?:clairon
clasp	?:agrafe
class	?:cours
classic	?:classique
classical	?:classique
claw	?:griffe
clay	?:argile
clean	?:pur
cleanliness	?:propreté
cleanse	?:purifier
clear	?:clair
cleopatra	?:Cléopâtre
clergyman	?:prêtre
clever	?:malin
click	?:claquer
client	?:client
cliff	?:falaise
climate	?:climat
climb	?:monter
climber	?:alpiniste
clip	?:découper
cloak	?:manteau
cloakroom	?:vestiaire
clock	?:horloge
clod	?:boule
clog	?:boucher
close	?:près
closet	?:armoire
cloth	?:tissu
clothe	?:habiller
clothes	?:vêtements
clothing	?:vêtements
cloud	?:nuage
clown	?:clown
club	?:club
cluster	?:grappe
clutch	?:saisir
coach	?:entraîner
coal	?:charbon
coarse	?:vulgaire
coast	?:bord
coat	?:manteau
coblenz	?:Coblence
cobra	?:cobra
cock	?:coq
cockroach	?:cafard
cocoa	?:cacao
cod	?:morue
coddle	?:dorloter
codfish	?:morue
coffee	?:café
coffin	?:cercueil
cognac	?:cognac
coherent	?:cohérent
coil	?:bobine
coincide	?:correspondre
coir	?:chœur
cold	?:froid
collar	?:col
colleague	?:collègue
collect	?:rassembler
collection	?:ensemble
collision	?:choc
cologne	?:Cologne
colombia	?:Colombie
colombian	?:Colombien
colonel	?:colonel
colonial	?:colonial
colony	?:possession
colossal	?:énorme
colour	?:couleur
columbia	?:Columbia
columbine	?:ancolie
columbus	?:Colomb
column	?:file
comb	?:peigne
come	?:venir
comet	?:comète
comfort	?:confort
comfortable	?:confortable
comfortably	?:agréablement
comforter	?:sucette
comic	?:drôle
comical	?:drôle
comine	?:Comines
comma	?:virgule
command	?:commandement
commence	?:commencer
commencement	?:début
commend	?:recommander
commerce	?:commerce
commission	?:commission
committee	?:comité
commodity	?:article
common	?:commun
commonplace	?:banal
commotion	?:scandale
communicate	?:communiquer
communication	?:faire‐part
communicative	?:abordable
communion	?:communion
community	?:commune
commute	?:aiguiller
companian	?:accompagnateur
companion	?:compagnon
company	?:compagnie
compare	?:comparer
comparison	?:comparaison
compartment	?:spécialité
compass	?:boussole
compassion	?:pitié
compatible	?:correspondant
compel	?:imposer
compensate	?:compenser
compete	?:rivaliser
competent	?:qualifié
competition	?:concours
complain	?:porter plainte
complaint	?:plainte
complete	?:entier
completely	?:complètement
complexion	?:teint
complicate	?:compliquer
compliment	?:compliment
compose	?:écrire
composing	?:montage
composition	?:composition
composure	?:repos
comprise	?:contenir
compulsory	?:obligatoire
computer	?:ordinateur
comrade	?:camarade
conceal	?:cacher
conceited	?:vain
conceive	?:concevoir
concentrated	?:dense
concern	?:intérêt
concerned	?:concerné
concerning	?:quant à
concert	?:concert
concise	?:concis
conclude	?:se résoudre à
conclusion	?:résultat
concord	?:accord
concrete	?:béton
concurrence	?:accord
condemn	?:repousser
condition	?:état
condom	?:préservatif
conduct	?:conduire
cone	?:pomme de pin
confectioner's	?:pâtisserie
confess	?:reconnaître
confession	?:confession
confide	?:confier
confidence	?:confiance
confine	?:limiter
confirm	?:confirmer
confiscate	?:saisir
conflagration	?:incendie
conflict	?:conflit
conform	?:correspondre
conforming	?:conforme
confront	?:affronter
confuse	?:confondre
confusion	?:désordre
congenital	?:naturel
congentital	?:naturel
congestion	?:congestion
congo	?:Congo
congratulate	?:féliciter
congregate	?:réunir
congress	?:congrès
congruent	?:correspondant
conjecture	?:prévoir
connect	?:joindre
connected	?:cohérent
connection	?:ligue
conquer	?:conquérir
conscience	?:conscience
conscious	?:conscient
consciousness	?:connaissance
consecutively	?:de suite
consent	?:être d'accord
consequence	?:suite
consequently	?:ensuite
conservation	?:garde
conserve	?:maintenir
consider	?:regarder
considerable	?:majeur
consignee	?:destinataire
consist	?:consister
consistency	?:suite
consistent	?:logique
consolation	?:consolation
console	?:consoler
constant	?:permanent
constantly	?:constamment
consternation	?:abattement
constringent	?:astringent
construct	?:poser
consulate	?:consulat
consult	?:consulter
consume	?:consommer
consumer	?:consommateur
contact	?:contact
contain	?:contenir
container	?:bac
contemplate	?:contempler
contented	?:content
contention	?:assertion
contents	?:contenu
contest	?:concours
continent	?:continent
contingent	?:éventuel
continual	?:permanent
continually	?:continuellement
continuation	?:suite
continue	?:maintenir
continuous	?:permanent
continuously	?:continuellement
contort	?:tordre
contralto	?:alto
contrary	?:opposé
contribute	?:contribuer
control	?:gouvernement
controversy	?:polémique
convenient	?:convenable
convention	?:congrès
conversation	?:conversation
converse	?:intervenir
conversion	?:transformation
convert	?:convertir
conviction	?:conviction
convince	?:convaincre
cook	?:cuisiner
cookie	?:biscuit
coop	?:poulailler
copenhagen	?:Copenhague
coping	?:arête
copious	?:abondant
copper	?:cuivre
copulation	?:accouplement
copy	?:copier
coquettish	?:coquet
cord	?:corde
cordial	?:cordial
cordova	?:Cordoue
core	?:centre
corinth	?:Corinthe
corinthian	?:corinthien
cork	?:liège
corkscrew	?:tire‐bouchon
cormorant	?:cormoran
corn	?:maïs
corner	?:coin
cornflower	?:barbeau
cornwall	?:Cornouailles
corpse	?:cadavre
corpulent	?:gros
correct	?:juste
correspond	?:correspondre
corridor	?:couloir
corroborate	?:confirmer
corrugate	?:onduler
corsica	?:Corse
corsican	?:Corse
cosmos	?:cosmos
cost	?:revenir à
costly	?:cher
costume	?:complet
cotton	?:coton
couch	?:canapé
cougar	?:puma
cough	?:tousser
counsel	?:conseil
counsellor	?:guide
count	?:compter
countless	?:incalculable
country	?:pays
countryman	?:paysan
countryside	?:campagne
couple	?:époux
coupon	?:ticket
coupé	?:compartiment
courage	?:courage
courageous	?:courageux
courgette	?:courgette
courier	?:courrier
course	?:cours
court	?:cour
courteous	?:poli
courtrai	?:Courtrai
courtyard	?:cour
cousin	?:cousin
cover	?:couverture
covetousness	?:avidité
cow	?:vache
coward	?:peureux
cowardice	?:faiblesse
cower	?:être accroupi
coyote	?:coyote
crab	?:crabe
crack	?:craquer
cracow	?:Cracovie
crane	?:grue
crawl	?:ramper
crayfish	?:écrevisse
craziness	?:aliénation
crazy	?:fou
creak	?:grincer
cream	?:crème
crease	?:froisser
create	?:créer
creature	?:créature
credential	?:lettre de créance
creep	?:ramper
crete	?:Crète
cricket	?:grillon
crime	?:crime
crimea	?:Crimée
crippled	?:infirme
crisis	?:crise
criticize	?:reprendre
croak	?:croasser
croat	?:Croate
croatia	?:Croatie
croatian	?:croate
crocodile	?:crocodile
cross	?:passer
crossways	?:en largeur
crouch	?:être accroupi
crow	?:corbeau
crowbar	?:levier
crowd	?:masse
crown	?:couronner
crucifix	?:crucifix
crude	?:cru
cruel	?:méchant
cruise	?:croiser
crumb	?:miette
crumble	?:froisser
crush	?:presse
cry	?:pleurer
crystal	?:cristal
cuba	?:Cuba
cuban	?:cubain
cube	?:cube
cubic	?:cubain
cuckoo	?:coucou
cucumber	?:concombre
cuddlesome	?:tendre
cuddly	?:tendre
cuff	?:manchette
cult	?:culte
cultivate	?:cultiver
cultivation	?:culture
culture	?:culture
cultured	?:cultivé
cunning	?:malin
cunt	?:con
cup	?:tasse
cupboard	?:armoire
cupid	?:Cupidon
curaçao	?:Curaçao
cure	?:soigner
curiosity	?:curiosité
curious	?:intéressant
curl	?:battre
currant	?:groseille
current	?:courant
currently	?:actuellement
curry	?:panser
curse	?:maudire
curtail	?:abréger
curtailment	?:réduction
curtain	?:rideau
curved	?:courbe
cushion	?:coussin
cuss	?:blasphémer
custom	?:habitude
customary	?:habituel
customer	?:client
customs	?:douane
cut	?:couper
cutlet	?:côtelette
cyclades	?:Cyclades
cycle	?:vélo
cyclone	?:cyclone
cylinder	?:cylindre
cynical	?:cynique
cypres	?:cyprès
cypriot	?:Chypriote
cypriote	?:chypriote
cyprus	?:Chypre
czech	?:Tchèque
czechoslovak	?:Tchécoslovaque
czechoslovakia	?:Tchécoslovaquie
czechoslovakian	?:Tchécoslovaque
dad	?:papa
daddy	?:papa
daffodil	?:narcisse
dahlia	?:dahlia
daily	?:chaque jour
dainty	?:tendre
daisy	?:pâquerette
dakar	?:Dakar
dalmatia	?:Dalmatie
dalmatian	?:Dalmate
damage	?:dommage
damascus	?:Damas
dame	?:demoiselle noble
damocles	?:Damoclès
dampen	?:abreuver
dance	?:danse
dandelion	?:pissenlit
dane	?:Danois
danger	?:danger
dangerous	?:dangereux
danube	?:Danube
dardanelles	?:Dardanelles
dare	?:oser
daring	?:audace
dark	?:sombre
darken	?:foncer
darkness	?:ténèbres
data	?:matériau
date	?:date
daughter	?:fille
dawn	?:point du jour
day	?:jour
daybreak	?:point du jour
daydream	?:rêve
dazzle	?:aveugler
deadly	?:mortel
deaf	?:sourd
deal	?:distribuer
dear	?:cher
death	?:mort
debate	?:débat
debauch	?:faire la noce
debauchery	?:noce
debit	?:débit
debris	?:débris
debt	?:dette
decay	?:désastre
decayed	?:vieux
deceive	?:tromper
deceived	?:déçu
december	?:décembre
decent	?:convenable
decently	?:proprement
decide	?:décider
decision	?:arrêt
deck	?:pont
declaration	?:déclaration
declare	?:déclarer
decline	?:diminuer
decorate	?:décorer
decoration	?:décoration
decoy	?:attirer
decrease	?:diminuer
decrepit	?:vieux
dedicate	?:consacrer
deduce	?:déduire
deduct	?:prélever
deem	?:croire
deep	?:profond
deer	?:cerf
defeat	?:vaincre
defecate	?:aller à la selle
defence	?:défense
defend	?:défendre
defendant	?:accusé
defense	?:défense
defiantly	?:en dépit de
defile	?:col
define	?:fixer
definite	?:définitif
definitely	?:absolument
definitive	?:définitif
defraud	?:frauder
defy	?:provoquer
degenerate	?:s'abâtardir
degree	?:titre
delay	?:renvoyer
delegate	?:député
delete	?:effacer
deliberately	?:exprès
delicacy	?:friandise
delicate	?:tendre
delicious	?:savoureux
delight	?:ravir
delightful	?:superbe
delirium	?:transport
deliver	?:fournir
delivery	?:remise
delphi	?:Delphes
delta	?:delta
demand	?:demander
democrat	?:démocrate
demolish	?:abattre
demonstrate	?:démontrer
demonstration	?:manifestation
den	?:nid
denmark	?:Danemark
denounce	?:livrer
dense	?:dense
dentist	?:dentiste
deny	?:nier
depart	?:partir
department	?:domaine
departure	?:départ
depend	?:dépendre
dependent	?:subordonné
deportment	?:procédé
deposit	?:déposer
depress	?:abattre
depression	?:crise
deprive	?:dépouiller
depth	?:profondeur
deputy	?:député
derive	?:provenir
derrick	?:grue
descend	?:descendre
descent	?:descente
describe	?:représenter
description	?:description
descry	?:se rendre compte
desert	?:quitter
deserve	?:mériter
design	?:projet
desire	?:désir
desk	?:pupitre
desolate	?:sombre
despair	?:désespoir
despise	?:mépriser
despite	?:malgré
dessert	?:dessert
destine	?:destiner
destiny	?:sort
destroy	?:détruire
destruction	?:ravage
detachment	?:groupe
detail	?:détail
detain	?:réprimer
detention	?:arrestation
determine	?:déterminer
deuteronomy	?:Deutéronome
develop	?:développer
device	?:appareil
devil	?:diable
devote	?:consacrer
devoted	?:attaché
dew	?:rosée
dexterous	?:habile
diagram	?:projet
dial	?:disque
dialect	?:dialecte
dialogue	?:dialogue
diamond	?:diamant
diana	?:Diane
diarrhoea	?:diarrhée
dictate	?:dicter
dictator	?:dictateur
dictionary	?:dictionnaire
die	?:mourir
diet	?:diète
differ	?:être différent
difference	?:différence
different	?:différent
differently	?:autrement
difficult	?:difficile
dig	?:creuser
digest	?:digérer
digit	?:chiffre
dignified	?:digne
dignity	?:dignité
dilapidated	?:vieux
diligent	?:appliqué
dim	?:sombre
dimension	?:taille
diminish	?:s'abaisser
diminutive	?:petit
dinner	?:déjeuner
diogenes	?:Diogène
dip	?:tremper
diploma	?:titre
direct	?:droit
direction	?:direction
directions	?:instruction
directly	?:directement
director	?:directeur
dirty	?:sale
disadvantage	?:inconvénient
disappear	?:disparaître
disappearance	?:disparition
disappoint	?:tromper
disappointment	?:peine
disapprove	?:repousser
disc	?:disque
discharge	?:partir
disciple	?:disciple
disciples	?:suite
discipline	?:discipline
discontented	?:mécontent
discount	?:réduction
discover	?:découvrir
discovery	?:découverte
discrete	?:discret
discretion	?:prudence
discuss	?:discuter
discussion	?:discussion
disease	?:maladie
disembark	?:débarquer
dish	?:met
dishevel	?:ébouriffer
disintegrate	?:séparer
diskette	?:disquette
dislike	?:détester
dismal	?:pauvre
dismay	?:consterner
dismiss	?:renvoyer
disobedient	?:rebelle
disorder	?:désordre
dispatch	?:déposer
disperse	?:dissiper
display	?:pompe
displeased	?:mécontent
disposition	?:don
dispute	?:dispute
disquiet	?:rendre trouble
dissatisfied	?:mécontent
dissect	?:sectionner
dissemble	?:agir en hypocrite
disseminate	?:parsemer
dissipation	?:noce
dissolve	?:résoudre
dissymmetric	?:asymétrique
distance	?:distance
distant	?:loin
distinct	?:clair
distinction	?:distinction
distinguish	?:reconnaître
distract	?:distraire
distraction	?:détente
distress	?:attrister
distribute	?:distribuer
distribution	?:distribution
district	?:quartier
distrust	?:se méfier
disturb	?:déranger
ditch	?:fossé
dive	?:plonger
diverse	?:divers
diversion	?:détente
divert	?:distraire
divide	?:partager
divine	?:divin
divorce	?:divorce
djibouti	?:Djibouti
dna	?:ADN
do	?:faire
doctor	?:médecin
document	?:titre
doe	?:biche
dog	?:chien
dogma	?:dogme
doll	?:poupée
dollar	?:dollar
dolphin	?:dauphin
dome	?:voûte
domestic	?:domestique
dominica	?:Dominique
dominican	?:Dominicain
donate	?:offrir
donkey	?:âne
door	?:porte
dorian	?:dorique
doric	?:dorique
dossier	?:dossier
dot	?:point
double	?:double
doubt	?:doute
doubtful	?:incertain
dough	?:pâte
dove	?:pigeon
dover	?:Douvres
down	?:duvet
downstairs	?:dessous
dowry	?:don
dozen	?:douzaine
drag	?:tirer
dragonfly	?:libellule
drain	?:drainer
drake	?:canard mâle
dram	?:apéro
drastic	?:radical
draw	?:tirer
drawer	?:tiroir
drawers	?:culotte
drawing	?:dessin
dreadful	?:terrible
dream	?:rêve
dreary	?:désolé
dress	?:robe
dresser	?:commode
drift	?:dériver
drill	?:percer
drink	?:consommation
drinkable	?:potable
drip	?:goutte
drive	?:prise
driver	?:chauffeur
drizzle	?:bruine
droop	?:retomber
drop	?:tomber
drown	?:noyer
drug	?:drogue
drugstore	?:pharmacie
drum	?:tambour
drunk	?:ivre
drunkenness	?:ivresse
dry	?:sec
dual	?:double
duchy	?:duché
duck	?:canard
duenna	?:accompagnatrice
dues	?:cotisation
dull	?:sot
dumb	?:muet
dummy	?:sucette
dump	?:verser
dung	?:excrément
dunkirk	?:Dunkerque
during	?:pendant
dust	?:poussière
dutch	?:néerlandais
dutchman	?:Néerlandais
dwarf	?:nain
dwell	?:habiter
dwelling	?:domicile
dye	?:peinture
dynamite	?:dynamite
dyspepsia	?:dyspepsie
décor	?:décor
each	?:par
eager	?:avide
eagerness	?:avidité
eagle	?:aigle
eaglet	?:aiglon
ear	?:oreille
earl	?:comte
early	?:tôt
earmark	?:destiner
earn	?:gagner
earnest	?:sérieux
earth	?:terre
earthen	?:terrestre
earthly	?:terrestre
earthquake	?:séisme
earthworm	?:ver de terre
easel	?:établi
easily	?:facilement
east	?:est
easter	?:Pâques
easy	?:facile
echo	?:résonner
economy	?:économie
edelweiss	?:edelweiss
eden	?:Eden
edge	?:bord
edging	?:bord
edinburgh	?:Edimbourg
edit	?:rédiger
educate	?:éduquer
educated	?:cultivé
education	?:enseignement
eel	?:anguille
eelworm	?:tylenchus
effect	?:impression
effort	?:peine
egg	?:œuf
eggfruit	?:aubergine
eggplant	?:aubergine
egypt	?:Egypte
egyptian	?:égyptien
eight	?:huit
eighteen	?:dix‐huit
eighty	?:quatre‐vingts
elastic	?:souple
elba	?:Elbe
elbe	?:Elbe
elbow	?:coude
elder	?:sureau
elect	?:choisir
election	?:choix
electric	?:électrique
electricity	?:électricité
electron	?:électron
element	?:élément
elemental	?:primaire
elementary	?:primaire
elements	?:alphabet
elephant	?:éléphant
elevator	?:ascenseur
eleven	?:onze
eleventh	?:onzième
elf	?:lutin
elk	?:élan
elm	?:orme
eloquent	?:éloquent
else	?:plus
elsewhere	?:ailleurs
embarrassment	?:embarras
embassy	?:ambassade
embellish	?:rendre plus beau
embrace	?:prendre dans les bras
embroider	?:broder
emerge	?:paraître
emergency	?:crise
emigrate	?:se réfugier
emmet	?:fourmi
emotion	?:émotion
emperor	?:empereur
emphasis	?:emphase
emphasize	?:souligner
empire	?:empire
employ	?:appliquer
employee	?:employé
empty	?:vide
enchanter	?:sorcier
encounter	?:abord
encourage	?:pousser à
encyclopaedia	?:encyclopédie
end	?:fin
endeavour	?:peiner
ending	?:fin
endlessly	?:infiniment
endorse	?:virer
endure	?:soutenir
enemy	?:ennemi
energy	?:énergie
engagement	?:fiançailles
engine	?:machine
engineer	?:ingénieur
england	?:Angleterre
english	?:anglais
englishman	?:Anglais
engrave	?:graver
enigma	?:énigme
enjoy	?:être joyeux
enjoyable	?:agréable
enlarge	?:augmenter
enlargement	?:accroissement
enlighten	?:illuminer
enormous	?:énorme
enough	?:assez
entangle	?:entortiller
enter	?:entrer
entertain	?:distraire
entertaining	?:drôle
entertainment	?:amusement
enthusiasm	?:enthousiasme
entice	?:tenter
entire	?:total
entirely	?:tout
entrust	?:confier
entry	?:présentation
entrée	?:hors‐d'œuvre
envelope	?:enveloppe
environment	?:milieu
environs	?:abords
envisage	?:contempler
envy	?:envie
epiphany	?:Epiphanie
epoch	?:époque
equal	?:égal
equally	?:de même
equip	?:équiper
equivalent	?:équivalent
era	?:époque
eradicate	?:arracher
eraser	?:gomme
erect	?:fonder
erecting	?:montage
eritrea	?:Erythrée
erotic	?:érotique
err	?:se tromper
errand	?:message
erroneous	?:abusif
error	?:erreur
escape	?:échapper
escort	?:accompagnement
especially	?:tout d'abord
esperanto	?:espéranto
essay	?:thèse
essential	?:essentiel
establish	?:constater
estate	?:bien
esteem	?:estime
estimate	?:apprécier
estonia	?:Estonie
estonian	?:Estonien
etching	?:eau‐forte
eternal	?:éternel
ethiopia	?:Ethiopie
ethiopian	?:éthiopien
ethos	?:ambiance
etrurian	?:étrusque
etruscan	?:étrusque
euphrates	?:Euphrate
europa	?:Europe
europe	?:Europe
european	?:Européen
evade	?:éviter
even	?:même
evening	?:soir
event	?:occasion
eventual	?:éventuel
ever	?:toujours
everlasting	?:permanent
every	?:chaque
everybody	?:chacun
everyday	?:vulgaire
everyone's	?:à tout le
everything	?:tout
everywhere	?:partout
evident	?:évident
evoke	?:rappeler
evolve	?:évoluer
exact	?:juste
exactitude	?:exactitude
exactly	?:exactement
examination	?:examen
examine	?:reconnaître
example	?:exemple
excavate	?:abattre
exceed	?:dépasser
excellency	?:seigneurie
except	?:sauf
excess	?:excès
exchange	?:centrale
excise	?:taxe d'octroi
excite	?:agacer
exciting	?:passionnant
exclude	?:dispenser
exclusively	?:ne ... que
excommunication	?:anathème
excrement	?:excrément
excursion	?:randonnée
excuse	?:excuser
execute	?:exécuter
exempt	?:dispenser
exercise	?:exercice
exert	?:pratiquer
exhortation	?:observation
exile	?:bannir
exist	?:exister
exit	?:donner
expect	?:attendre
expectation	?:attente
expel	?:renvoyer
expenses	?:sortie
expensive	?:cher
experienced	?:experimenté
experiment	?:expérience
expert	?:experimenté
expertness	?:adresse
expire	?:prendre fin
explain	?:expliquer
explode	?:exploser
exploit	?:exploiter
exploration	?:recherche
explore	?:reconnaître
express	?:exprimer
expression	?:air
expressway	?:autoroute
extend	?:taille
extension	?:suffixe
extensive	?:large
exterior	?:vue
exterminate	?:supprimer
extinguish	?:éteindre
extraordinary	?:extraordinaire
extreme	?:extrême
extremely	?:extrêmement
eye	?:œil
