a	?:en
adulteress	?:adultère
adulterous	?:adultère
adultery	?:adultère
advance	?:avancer
advancement	?:progrès
advantage	?:intérêt
advantageous	?:utile
advent	?:avent
adventitious	?:secondaire
adventure	?:aventure
adventurous	?:périlleux
adverb	?:adverbe
adverbial	?:adverbial
adversary	?:ennemi
adverse	?:ennemi
adversity	?:abaissement
advert	?:publicité
advertence	?:attention
advertency	?:attention
advertise	?:publier
advertisement	?:annonce
advertiser	?:messager
advice	?:faire‐part
advise	?:conseiller
advocate	?:avocat
adzharia	?:Adjarie
aegean	?:mer Egée
aeneas	?:Enée
aeolus	?:Eole
aerate	?:aérer
aerial	?:antenne
aerodrome	?:aérodrome
aerodynamic	?:aérodynamique
aerodynamics	?:aérodynamique
aerogramme	?:aérogramme
aerolite	?:aérolithe
aeronaut	?:aéronaute
aeronautics	?:aviation
aeroplane	?:avion
aerosol	?:aérosol
affable	?:gentil
affair	?:chose
affect	?:affecter
affectation	?:affectation
affected	?:affecté
affecting	?:attendrissant
affection	?:amour
affectionate	?:amoureux
affiliate	?:filiale
affiliation	?:filiale
affinity	?:affinité
affirm	?:affirmer
affirmation	?:promesse
affirmative	?:affirmatif
affix	?:fixer
afflict	?:désoler
affliction	?:chagrin
affluence	?:richesse
affluent	?:riche
afford	?:permettre
affray	?:bagarre
afghan	?:Afghan
afghanistan	?:Afghanistan
afire	?:ardant
aflame	?:ardant
afraid	?:timide
afresh	?:encore
africa	?:Afrique
african	?:Africain
afrikaans	?:d'Afrikanders
afrikaner	?:Boer
after	?:après
afternoon	?:après‐midi
afterwards	?:après
again	?:encore
against	?:contre
agamemnon	?:Agamemnon
agape	?:agape
agar	?:agar‐agar
agate	?:agate
agatha	?:Agathe
agave	?:agave
age	?:époque
aged	?:âgé
agency	?:agence
agenda	?:ordre du jour
agent	?:produit
agglomerate	?:aggloméré
agglutinate	?:agglutiner
aggrandize	?:augmenter
aggrandizement	?:accroissement
aggravate	?:aggraver
aggravating	?:agaçant
aggregate	?:agrégat
aggression	?:accès
aggressive	?:agressif
aggressor	?:attaquant
aggro	?:agression
aghast	?:stupéfait
agile	?:actif
agitate	?:débattre
agitated	?:nerveux
agitation	?:bagarre
aglow	?:ardant
agnostic	?:agnostique
agog	?:curieux
agonize	?:tourmenter
agony	?:angoisse
agoraphobia	?:agoraphobie
agrarian	?:agriculteur
agree	?:donner son accord
agreeable	?:agréable
agreeably	?:agréablement
agreed	?:soit
agreement	?:convention
agricultural	?:agronomique
agriculture	?:agriculture
agriculturist	?:agronome
agronomics	?:agriculture
ague	?:fièvre
ah	?:ah
aha	?:ah
ahead	?:en avant
aid	?:aide
aids	?:sida
ailment	?:maladie
aim	?:but
air	?:air
aircraft	?:aéronef
airdrome	?:aérodrome
airfield	?:aérodrome
airless	?:étouffant
airlift	?:pont aérien
airmail	?:poste aérienne
airman	?:aviateur
airplane	?:avion
airport	?:aéroport
airship	?:dirigeable
airsick	?:ayant le mal
airsickness	?:mal de l'air
airway	?:route aérienne
ajax	?:Ajax
alacrity	?:enthousiasme
alarm	?:alerte
alarmclock	?:réveil
alas	?:malheureusement
albania	?:Albanie
albanian	?:Albanais
albatross	?:albatros
albert	?:Albert
alberta	?:Alberta
albino	?:albino
album	?:album
albumen	?:albumen
alburnum	?:aubier
alchemist	?:alchimiste
alchemy	?:alchimie
alcohol	?:alcool
alcoholic	?:alcoolique
alcoholism	?:alcoolisme
alcove	?:alcôve
aldehyde	?:aldéhyde
alder	?:aulne
alderman	?:adjoint au maire
alderney	?:Aurigny
ale	?:bière
aleppo	?:Alep
alert	?:actif
alexander	?:Alexandre
alexandria	?:Alexandrie
alga	?:algue
algebra	?:algèbre
algebraic	?:algébrique
algeria	?:Algérie
algerian	?:Algérien
algiers	?:Alger
alibi	?:alibi
alien	?:étranger
alike	?:pareil
alimony	?:pension alimentaire
alive	?:vivant
alkali	?:alcali
alkaline	?:alcalin
all	?:tout le monde
allegedly	?:il paraît que
allegoric	?:allégorique
allegory	?:allégorie
allergic	?:allergique
allergy	?:allergie
alley	?:ruelle
alliance	?:alliance
alligator	?:alligator
alliteration	?:allitération
allow	?:laisser
alloy	?:alliage
allude	?:faire allusion
almanac	?:annuaire
almond	?:amande
almost	?:presque
alms	?:aumône
aloe	?:aloès
alone	?:seul
alost	?:Alost
alpaca	?:alpaga
alpenrose	?:rhododendron
alpha	?:alpha
alphabet	?:alphabet
alphabetical	?:alphabétique
alpine	?:alpin
alpinist	?:alpiniste
alps	?:Alpes
already	?:déjà
alsatian	?:alsacien
also	?:aussi
altar	?:autel
alteration	?:transformation
alternate	?:alterner
alternative	?:alternative
although	?:quoique
altitude	?:hauteur
altogether	?:tout
altruism	?:altruisme
altruist	?:altruiste
altruistic	?:altruiste
alum	?:alun
aluminium	?:aluminium
aluminum	?:aluminium
alva	?:Albe
always	?:toujours
amaranthus	?:amarante
amass	?:rassembler
amateur	?:amateur
amaze	?:étonner
amazon	?:amazone
ambassador	?:ambassadeur
amber	?:ambre jaune
ambiguous	?:ambigu
ambition	?:ambition
ambitious	?:ambitieux
ambivalence	?:ambivalence
amboina	?:Amboine
ambrosia	?:ambroisie
ambulance	?:ambulance
amen	?:ainsi soit‐il
america	?:Amérique
american	?:Américain
americanize	?:américaniser
amethyst	?:améthyste
amidst	?:parmi
ammonia	?:ammoniaque
ammunition	?:munitions
amnesty	?:amnistie
amoeba	?:amibe
among	?:entre
amorphous	?:amorphe
amount	?:nombre
ampersand	?:perluète
amphetamine	?:amphétamine
amphibian	?:amphibie
amphitheatre	?:amphitéâtre
amphora	?:amphore
ample	?:large
amplitude	?:amplitude
amputate	?:amputer
amputation	?:amputation
ampère	?:ampère
amsterdam	?:Amsterdam
amuck	?:amok
amulet	?:amulette
amuse	?:amuser
amusement	?:détente
amusing	?:drôle
an	?:un
anabaptism	?:anabaptisme
anachronism	?:anachronisme
anaconda	?:anaconda
anaemia	?:anémie
anaemic	?:anémique
anaesthesia	?:anesthésie
anaesthesist	?:anesthésiste
anagram	?:anagramme
anal	?:anal
analogous	?:analogue
analogy	?:analogie
analyse	?:analyser
analysis	?:analyse
analyst	?:analyste
anapaest	?:anapeste
anarchic	?:anarchique
anarchical	?:anarchique
anarchism	?:anarchisme
anarchist	?:anarchiste
anarchy	?:anarchie
anathema	?:anathème
anatomical	?:anatomique
anatomist	?:anatomiste
anatomy	?:anatomie
anchor	?:ancre
anchovy	?:anchois
ancient	?:antique
and	?:et
andalusia	?:Andalousie
andalusian	?:Andalou
andorra	?:Andorre
andorrian	?:andorran
anecdotal	?:anecdotique
anecdote	?:anecdote
anemone	?:anémone
anew	?:encore
angel	?:ange
angelic	?:angélique
angelica	?:angélique
angina	?:angine
angle	?:angle
angler	?:pêcheur à la
anglican	?:anglican
anglicism	?:anglicisme
angolan	?:angolais
angolese	?:Angolais
anguish	?:angoisse
angular	?:anguleux
aniline	?:aniline
animal	?:animal
animate	?:animer
ankle	?:cheville
ann	?:Anne
anniversary	?:anniversaire
annotation	?:note
announce	?:publier
announcement	?:faire‐part
announcer	?:speaker
annoy	?:indigner
annoyance	?:peine
annual	?:annuel
annul	?:supprimer
annunciation	?:Annonciation
anode	?:anode
anoint	?:étendre
anonymity	?:anonymat
anonymous	?:anonyme
another	?:autre
answer	?:réponse
ant	?:fourmi
antarctic	?:antarctique
antecedent	?:précédent
antelope	?:antilope
antenna	?:antenne
anthem	?:hymne
anthology	?:anthologie
anthracite	?:anthracite
anthropologist	?:anthropologue
anthropology	?:anthropologie
antibiotic	?:antibiotique
antibody	?:anticorps
antichrist	?:antéchrist
anticipate	?:anticiper
anticipation	?:anticipation
antidote	?:antidote
