'aeneid'	?:'Aeneis'
dockside	?:Hafen…
dockyard	?:Werft
dockyards	?:Werften
docoglossans	?:Balkenzüngler
docs	?:Doktoren
doctor	?:Arzt
doctor-patient-relationship	?:Arzt-Patient-Beziehung
doctoral	?:Doktor…
doctorate	?:Doktortitel
doctored	?:versorgt
doctoring	?:manipulierend
doctors	?:Ärzte
doctrinaire	?:Prinzipienreiter
doctrinal	?:Lehr…
doctrine	?:Lehre
doctrines	?:Lehren
docu-soap	?:Alltagsdoku
docudrama	?:inszenierte Dokumentation
document	?:Dokument
documenta	?:documenta
documentable	?:dokumentierbar
documental	?:urkundlich
documentalist	?:Dokumentar
documentalists	?:Dokumentare
documentaries	?:Dokumentationen
documentary	?:Dokumentation
documentation	?:Dokumentation
documentations	?:Dokumentationen
documented	?:belegt
documenting	?:belegend
documents	?:Unterlagen
dodder	?:Seide
doddered	?:schlotterte
dodderer	?:Tattergreis
dodderers	?:Tattergreise
doddering	?:schlotternd
dodders	?:schlottert
doddery	?:tattrig
doddle	?:leichte Übung
dodecadodecahedron	?:Dodekadodekaeder
dodecagon	?:Zwölfeck
dodecagonal	?:zwölfeckig
dodecagons	?:Zwölfecke
dodecahedron	?:Zwölfflächner
dodecahemidodecahedron	?:Dodekahemidodekaeder
dodecane	?:Dodecan
dodecanese	?:Dodekanes
dodecylamine	?:Dodecylamin
dodecyldimethylamine	?:Dodecyldimethylamin
dodge	?:aus dem Weg gehen
dodgeball	?:Völkerball
dodged	?:wich aus
dodgem	?:Scooter
dodger	?:Schwindler
dodgers	?:Schwindler
dodges	?:weicht aus
dodging	?:ausweichend
dodgy	?:verdächtig
dodo	?:Dodo
dodoma	?:Dodoma
doe	?:Ricke
doe-eyed	?:mit Rehaugen
doer	?:Macher
doers	?:Macher
does	?:leistet ab
doesn't	?:tut nicht
doff	?:ablegen
doffed	?:abgelegt
doffer	?:Kämmwalze
doffers	?:Kämmwalzen
doffing	?:ablegend
dog	?:Hund
dog-breath	?:Mundgeruch
dog-cart	?:Hundewagen
dog-controlled	?:durch Anschlag gesteuert
dog-ear	?:Eselsohren
dog-eat-dog	?:jeder gegen jeden
dog-fennels	?:Hundskamillen
dog-run	?:Dogtrot-Haus
dog-tired	?:hundemüde
dogcart	?:Dogcart
doge	?:Doge
doges	?:Dogen
dogfight	?:Luftkampf
dogfights	?:Luftgefechte
dogfishing	?:Suchen von Datingpartnern
dogged	?:angestrengt
doggedly	?:hartnäckig
doggedness	?:Verbissenheit
dogger	?:Dogger
doggerel	?:Knittelvers
doggerels	?:Knittelverse
doggie	?:Hündchen
doggies	?:Hündchen
dogging	?:Sextreffen an öffentlichen Orten
doggish	?:Hunde…
doggishness	?:Gockelhaftigkeit
doggy	?:Hündchen
doghouse	?:Hundehütte
doghouses	?:Hundehütten
dogie	?:verlassenes Kälbchen
dogleg	?:scharfe Kurve
dogma	?:Dogma
dogmas	?:Dogmen
dogmata	?:Dogmen
dogmatic	?:dogmatisch
dogmatically	?:dogmatisch
dogmaticalness	?:Hartnäckigkeit
dogmatics	?:Dogmatik
dogmatism	?:Dogmatik
dogmatist	?:Dogmatiker
dogmatists	?:Dogmatiker
dogmustards	?:Hundsrauken
dogs	?:Hunde
dogsbodies	?:Kulis
dogsbody	?:Mädchen für alles
dogwhelk	?:Steinchen
dogwoods	?:Hartriegel
doha	?:Doha
dohickey	?:Dings
doilies	?:Tassenunterlagen
doily	?:Deckchen
doing	?:Tun
doings	?:Taten
dojigger	?:Dings
dokimasy	?:Probierkunde
doldrums	?:Flaute
dole	?:Arbeitslosengeld
doled	?:verteilte sparsam
doleful	?:traurig
dolefully	?:traurig
dolefulness	?:Kummer
dolerite	?:Dolerit
doles	?:verteilt sparsam
dolgans	?:Dolganen
dolichocephalia	?:Langköpfigkeit
dolichocephalic	?:langköpfig
dolichocephalous	?:langköpfig
dolichocephalus	?:Langkopf
dolichocranial	?:langköpfig
dolichoycephalism	?:Langköpfigkeit
doline	?:Karsttrichter
doll	?:Puppe
dollar	?:Dollar
dollars	?:Dollar
dollhouse	?:Puppenhaus
dollhouses	?:Puppenhäuser
dollies	?:Puppen
dollish	?:puppenhaft
dollop	?:Schlag
dolls	?:Puppen
dolly	?:Puppe
dolmen	?:Dolmen
dolomite	?:Dolomit
dolomites	?:Dolomiten
dolomitic	?:dolomitisch
dolomitization	?:Dolomitisierung
dolomitize	?:dolomitisieren
dolomitized	?:in Dolomit umgewandelt
dolomitizing	?:in Dolomit umwandelnd
dolomization	?:Dolomitisierung
dolor	?:Qual
dolorimeter	?:Schmerzmessgerät
dolorimeters	?:Schmerzmessgeräte
dolorimetry	?:Schmerzmessung
dolorogenic	?:schmerzauslösend
dolorous	?:traurig
dolorously	?:schmerzhaft
dolorousness	?:Traurigkeit
dolors	?:Qualen
dolostone	?:Dolomit
dolour	?:Qual
dolours	?:Qualen
dolphin	?:Delfin
dolphinarium	?:Delfinarium
dolphins	?:Delfine
dolt	?:Tor
doltish	?:dumm
doltisher	?:dümmer
doltishest	?:am dümmsten
doltishly	?:dumm
dolts	?:Tore
domain	?:Bereich
domains	?:Bereiche
domal	?:kuppelförmig
dome	?:Dom
dome-shaped	?:gewölbt
domed	?:gewölbt
domelike	?:kuppelförmig
domerian	?:Domer
domes	?:Kuppeln
domestic	?:Haus…
domestically	?:häuslich
domesticated	?:häuslich
domesticating	?:domestizierend
domestication	?:Domestizierung
domesticity	?:Häuslichkeit
domestics	?:Dienstboten
domestique	?:Wasserträger
domeykite	?:Arsenkupfer
domicile	?:Zuhause
domiciled	?:untergebracht
domiciles	?:Heime
domiciliary	?:Haus…
domiciliation	?:Zuhause
domiciliations	?:Heime
domiciling	?:ansässig machend
dominance	?:Dominanz
dominant	?:dominant
dominantly	?:dominant
dominants	?:Dominanten
dominate	?:beherrschen
dominated	?:bestimmt
dominates	?:herrscht
dominating	?:bestimmend
domination	?:Herrschaft
dominator	?:Beherrscher
dominatrices	?:Dominas
dominatrix	?:Domina
dominatrixes	?:Dominas
domineer	?:tyrannisieren
domineered	?:tyrannisiert
domineering	?:dominant
domineeringly	?:tyrannisch
domineers	?:tyrannisiert
doming	?:Aufwölbung
dominic	?:Dominik
dominica	?:Dominica
dominican	?:Dominikaner
dominicans	?:Dominikaner
dominie	?:Geistlicher
dominies	?:Geistliche
dominion	?:Herrschaft
dominions	?:Herrschaftsgebiete
domino	?:Dominostein
dominoes	?:Domino
don	?:Don
don't	?:nicht tun
donated	?:gespendet
donates	?:spendet
donating	?:spendend
donation	?:Spende
donations	?:Spenden
donations-based	?:spendenfinanziert
donator	?:Spender
donators	?:Spender
done	?:gar
donee	?:Beschenkte
donees	?:Beschenkte
donetidine	?:Donetidin
donets	?:Donez
donetsk	?:Donezk
dong	?:Schwanz
dongle	?:Dongle
donkey	?:Esel
donkeys	?:Esel
donkeywork	?:Krampf
donned	?:angelegt
donning	?:anziehend
donnish	?:pedantisch
donnybrook	?:Aufruhr
donnée	?:Ausgangssituation
donor	?:Spender
donors	?:Spender
donut	?:Berliner
donuts	?:Pillen
doodad	?:Dings
doodah	?:Dings
doodle	?:Männchen zeichnen/malen
doodlebag	?:Ameisenlarve
doodlebags	?:Ameisenlarven
doodlebug	?:V1-Rakete
doodlebugging	?:Wünschelrutengehen
doodlebugs	?:Ameisenlöwen
doodled	?:gekritzelt
doodling	?:kritzelnd
doods	?:Leute
doofus	?:Idiot
doohickey	?:Dings
dooking	?:Nach-Äpfeln-Tauchen
doom	?:Schicksal
doom-monger	?:Unheilsprophet
doomed	?:verdammt
dooming	?:verurteilend
doomsayer	?:Schwarzseher
doomsayers	?:Schwarzseher
doomsday	?:der Jüngste Tag
door	?:Tür
door-knob	?:Türgriff
door-opener	?:Türöffner
doorbell	?:Glocke
doorbells	?:Glocken
doorgunner	?:Bordsicherungssoldat
doorgunners	?:Bordsicherungssoldaten
doorkeeper	?:Türsteher
doorknob	?:Türknopf
doorman	?:Türportier
doormat	?:Fußmatte
doormats	?:Fußmatten
doornail	?:Türnagel
doornails	?:Türnägel
doorplate	?:Türschild
doorpost	?:Türpfosten
doorposts	?:Türpfosten
doors	?:Tore
doorstep	?:vor dem Haus auf ein Interview warten
doorsteps	?:Stufen vor der Haustür
doorstop	?:Schinken
doorstopper	?:Schinken
doorstoppers	?:Türstopper
doorstops	?:Türstopper
doorway	?:Tür
dooryard	?:Vorgarten
dooryards	?:Vorgärten
doozie	?:Es war der Hammer!
doozy	?:etw. Besonderes
dopamine	?:Dopamin
dopant	?:Dotiermaterial
dopants	?:Dotiermaterialien
dope	?:Stoff
dope-head	?:Kiffer
doped	?:Stoff gegeben
dopes	?:Zusätze
dopexamine	?:Dopexamin
dopey	?:dumm
dophinfishes	?:Goldmakrelen
dopily	?:benommen
dopiness	?:Dämlichkeit
doping	?:Doping
doppelganger	?:Double
doppelkopf	?:Doppelkopf
doppler	?:Doppler
dopplers	?:Doppler
dopy	?:benommen
dorado	?:Dorado
dordogne	?:Dordogne
dorian	?:dorisch
doric	?:dorisch
doris	?:Doris
dork	?:peinlicher Typ
dorky	?:dumm
dorm	?:Schlafsaal
dormagen	?:Dormagen
dormancy	?:Ruhezeit
dormant	?:still
dormer	?:Gaube
dormers	?:Gauben
dormice	?:Schläfer
dormitories	?:Schlafsäle
dormitory	?:Schlafsaal
dormouse	?:Bilch
dorms	?:Schlafsäle
dorsal	?:den Rücken betreffend
dorsally	?:dorsal
dorsals	?:Rückenwirbel
dorset	?:Dorset
dorsetshire	?:Dorset
dorstenias	?:Dorstenien
dortmund	?:Dortmund
dosage	?:Dosierung
dosages	?:Dosierungen
dose	?:Gabe
dosed	?:dosiert
dosemeter	?:Dosimeter
dosemeters	?:Dosimeter
doser	?:Dosierer
dosers	?:Dosierer
doses	?:dosiert
dosh	?:Marie
dosimeter	?:Dosimeter
dosimeters	?:Dosimeter
dosimetry	?:Dosimetrie
dosing	?:Dosierung
doss	?:schlafen
dossed	?:geschlafen
dosser	?:Penner
dossers	?:Penner
dosshouse	?:Penne
dosshouses	?:Absteigen
dossier	?:Vorgang
dossiers	?:Akten
dossing	?:schlafend
dot	?:Punkt
dot-com	?:Internet…
dot-scanning	?:Rasterpunktlesen
dotage	?:Senilität
dotard	?:seniler Mensch
dotdashed	?:strichpunktiert
doting	?:vernarrt
dots	?:Punkte
dotted	?:übersät
dotterel	?:Mornellregenpfeifer
dottiness	?:Wackligkeit
dotting	?:punktierend
dottle	?:Tabakrest in der Pfeife
dotty	?:eine verrückte Idee
douala	?:Douala
douane	?:Zollhäuschen
double	?:doppelt
double-acting	?:doppelt wirkend
double-action	?:doppelt wirkend
double-barrelled	?:doppelläufig
double-clicking	?:doppelklickend
double-cream	?:Schlagsahne
double-cross	?:doppeltes Spiel
double-dealer	?:falscher Kerl
double-dealing	?:falsch
double-decker	?:Doppeldecker
double-declutch	?:zwischenkuppeln
double-digit	?:zweistellig
double-edged	?:zweischneidig
double-length	?:doppelte Stellenzahl
double-pole	?:zweipolig
double-refracting	?:doppelbrechend
double-row	?:zweireihig
double-sided	?:beidseitig
double-spaced	?:zweizeilig
double-throw	?:Wechsel …
double-track	?:zweigleisig
double-tracking	?:Playback
double-walled	?:doppelwandig
double-wheel	?:Zweirad …
doublebacker	?:beidseitig gedeckte Wellpappe
doubleblind	?:doppelblind
doubled	?:verdoppelt
doubled-click	?:doppelgeklickt
doubleganger	?:Double
doubleness	?:Doppelbödigkeit
doubler	?:Facher
doublers	?:Zwirner
doubles	?:verdoppelt sich
doublespeak	?:sprachliche Vernebelung
doublestrike	?:Doppelanschlag
doublestrikes	?:Doppelanschläge
doublet	?:Wams
doubletalk	?:sprachliche Vernebelung
doublethink	?:Doppeldenken
doublets	?:Pasch
doubling	?:Fachen
doublings	?:Verdopplungen
doubloon	?:Dublone
doubly	?:doppelt
doublé	?:Kreisfinte
doubs	?:Dub
doubt	?:Zweifel
doubtable	?:zweifelhaft
doubted	?:bezweifelt
doubter	?:Zweifler
doubters	?:Zweifler
doubtful	?:unsicher
doubtfully	?:zweifelhaft
doubtfulness	?:Zweifelhaftigkeit
doubting	?:zweifelnd
doubtingly	?:zweifelnd
doubtless	?:zweifellos
doubtlessly	?:zweifellos
doubtlessness	?:Sicherlichkeit
doubtridden	?:von Zweifeln befallen
doubts	?:Zweifel
douche	?:Idiot
douchebag	?:Idiot
douchebags	?:Idioten
douched	?:gespült
douches	?:Idioten
douching	?:spülend
doucine	?:Kehlleiste
doucs	?:Kleideraffen
dough	?:Marie
doughboy	?:Landser
doughed-in	?:gemaischt
doughier	?:teigiger
doughiest	?:am teigigsten
doughing-in	?:maischend
doughnut	?:Berliner
doughs	?:Auswuchtpflaster
doughtier	?:unerschrockener
doughtiest	?:am unerschrockensten
doughty	?:wacker
doughy	?:teigig
doukhobor	?:Duchoborze
doukhobors	?:Duchoborzen
doula	?:Doula
dour	?:ernst und verbissen
dourly	?:mürrisch
dourness	?:Sturheit
douro	?:Duero
douse	?:löschen
doused	?:gelöscht
douses	?:begießt
dousing	?:ausmachend
dove	?:tauchte
dove-coloured	?:taubengrau
dovecot	?:Taubenschlag
dovecote	?:Taubenschlag
dovecotes	?:Taubenschläge
dovecots	?:Taubenschläge
dovekie	?:Krabbentaucher
dovekies	?:Krabbentaucher
doves	?:Tauben
dovetail	?:Schwalbenschwanz
dovetailed	?:koordiniert
dovetailing	?:genau passend
dovish	?:moderat
dowager	?:Witwe
dowagers	?:Witwen
dowdily	?:schäbig
dowdiness	?:Schäbigkeit
dowdy	?:schlecht angezogen
dowel	?:Zapfen
doweled	?:gedübelt
doweling	?:dübelnd
dowelling	?:Verstiftung
dowels	?:Zapfen
dower	?:natürliche Gabe
dowered	?:begabt
dowerless	?:ohne Mitgift
down	?:unten
down-and-dirty	?:schmutzig
down-and-out	?:abgerissen
down-at-heel	?:schäbig
down-bow	?:Abstrich
down-chute	?:Einfallschurre
down-hearted	?:niedergeschlagen
down-home	?:solide
down-market	?:weniger anspruchsvoll
down-on-their-luck	?:vom Glück verlassen
down-resistant	?:daunendicht
down-to-earth	?:nüchtern
downbeat	?:deprimierend
downcast	?:gedrückt
downchange	?:runterschalten
downchanged	?:heruntergeschaltet
downchanging	?:herunterschaltend
downclimbing	?:Abklettern
downcomer	?:Regenabflussrohr
downcomers	?:Regenabflussrohre
downcurrent	?:stromabwärtig
downcutting	?:lineare Erosion
downdip	?:in der Fallrichtung
downdraft	?:Abwind
downed	?:zu Fall gebracht
downer	?:Beruhigungsmittel
downey	?:flaumig
downfall	?:Fall
downfallen	?:geschlagen
downfield	?:nach hinten
downfold	?:Mulde
downfolds	?:Mulden
downforce	?:negativer Auftrieb
downgliding	?:niedergleitend
downgrade	?:ältere Version
downgraded	?:degradiert
downgrades	?:degradiert
downgrading	?:abwertend
downhearted	?:gedrückt
downheartedly	?:gedrückt
downheartedness	?:Niedergeschlagenheit
downhill	?:bergab
downier	?:flaumiger
downiest	?:am flaumigsten
downiness	?:Weichheit
downing	?:Abschuss
downland	?:Kreidehügel
downlight	?:Einbaustrahler
downlights	?:Einbaustrahler
downlink	?:Datenübermittlung abwärts
downloadable	?:herunterladbar
downloaded	?:heruntergeladen
downloading	?:Laden
downmarket	?:weniger anspruchsvoll
downness	?:Downquantenzahl
downpayment	?:Anzahlung
downpipe	?:Abflussrohr
downpipes	?:Regenabflussrohre
downplay	?:verharmlosen
downplayed	?:verharmlost
downplaying	?:verharmlosend
downproof	?:daunendicht
downrange	?:Flugstrecke
downright	?:gerade
downs	?:Kreidehügel
downsampling	?:Heruntertaktung
downscale	?:billig
downshift	?:runterschalten
downshifted	?:heruntergeschaltet
downshifter	?:jemand, der beruflich zurückschaltet
downshifting	?:herunterschaltend
downside	?:Nachteil
downsize	?:Personal abbauen
downsized	?:reduziert
downsizing	?:Stellenabbau
downslope	?:bergab
downspout	?:Abflussrohr
downspouts	?:Regenabflussrohre
downsprue	?:Eingussrohr
downsprues	?:Eingussrohre
downstage	?:Vorderbühne
downstairs	?:unten
downstream	?:mit dem Strom
downstroke	?:Abwärtsbewegung
downswing	?:Absteigen
downtempo	?:langsam
downthrow	?:Verwerfung ins Liegende
downthrust	?:negativer Auftrieb
downtick	?:niedrigerer Aktienkurs als vorher
downtime	?:Auszeit
downtimes	?:Ausfallzeiten
downtoner	?:abschwächendes Adverb
downtonian	?:Downton
downtown	?:City
downtowns	?:Innenstädte
downtrend	?:Abwärtstrend
downtrodden	?:unterdrückt
downturn	?:Rückgang
downward	?:nach unten
downwardly	?:abwärts
downwards	?:abwärts
downwarp	?:breites Sedimentbecken
downwash	?:Abwind
downwind	?:mit dem Wind
downy	?:flaumig
dowry	?:Dos
dowse	?:Wasser schütten
dowsed	?:Wasser geschüttet
dowser	?:Wünschelrutengänger
dowsers	?:Wünschelrutengänger
dowses	?:begießt
dowsing	?:Wünschelrutengehen
doxies	?:Huren
doxifluridine	?:Doxifluridin
doxing	?:Veröffentlichung der Realdaten
doxography	?:Doxographie
doxology	?:Doxologie
doxxing	?:Veröffentlichung der Realdaten
doxy	?:Hure
doxylamine	?:Doxylamin
doyen	?:Doyen
doyenne	?:Rangälteste
doze	?:schlummern
dozed	?:schlummerte
dozen	?:13 Stück
dozens	?:Dutzende
dozer	?:Schläfchen
dozers	?:Bulldozer
dozes	?:schlummert
dozier	?:schläfriger
doziest	?:am schläfrigsten
dozily	?:schläfrig
doziness	?:Müdigkeit
dozing	?:dösend
dozy	?:schläfrig
dphil	?:Doktortitel
dra	?:Wadi Dra
draa	?:Wadi Dra
drab	?:langweilig
drabber	?:düsterer
drabbest	?:am düstersten
drably	?:düster
drabness	?:Düsterkeit
dracaenas	?:Drachenbäume
drachma	?:Drachme
draco	?:Drache
draconian	?:hart
draff	?:Satz
draft	?:Zug
drafted	?:ausgewählt
draftee	?:Wehrdienstpflichtiger
draftees	?:Wehrpflichtige
drafter	?:technischer Zeichner
drafters	?:technische Zeichner
draftier	?:windiger
draftiest	?:am windigsten
draftiness	?:Zugigkeit
drafting	?:Erstellung einer Zeichnung
drafts	?:Entwürfe
draftsman	?:Zeichner
draftsmans	?:Konstrukteure
draftsmanship	?:Zeichenkunst
draftsmen	?:technische Zeichner
draftsperson	?:technischer Zeichner
draftswoman	?:Zeichnerin
draftswomen	?:Zeichnerinnen
drafty	?:windig
drag	?:ziehen
drag-hinge	?:Schwenkgelenk
drag-hunting	?:Schleppjagd
drag-in	?:Eintrag
drag-link	?:Schwenkgelenk
dragee	?:Dragee
dragged	?:zog
dragging	?:schleppend
draggle	?:beschmutzen
draggled	?:verschmutzt
draggles	?:beschmutzt
draggling	?:beschmutzend
draglift	?:Schlepplift
draglifts	?:Schlepplifte
dragline	?:Schleppseil
draglines	?:Schleppseile
dragmode	?:Schleppmodus
dragnet	?:Großfahndung
dragnets	?:Großfahndungen
dragon	?:Drachen
dragonets	?:Leierfische
dragonflies	?:Libellen
dragonfly	?:Libelle
dragonheads	?:Drachenköpfe
dragons	?:Drachen
dragonwort	?:Dragon
dragonworts	?:Drachenwurzen
dragoon	?:zwingen
dragooned	?:gezwungen
dragooning	?:zwingend
dragrope	?:Schlepptau
drags	?:zieht
dragshovel	?:Tieflöffelbagger
dragster	?:Dragster
drain	?:Ablauf
drainage	?:Entwässerung
drainboard	?:Abtropffläche
draincock	?:Ablaufhahn
drained	?:geschafft
drainer	?:Abtropfgefäß
drainers	?:Abtropfgefäße
draining	?:Entwässerung
drainpipe	?:Abfluss
drainpipes	?:Abflüsse
drains	?:lässt ab
drainway	?:Sumpfstrecke
draisine	?:Handdraisine
draisines	?:Handdraisinen
drake	?:Erpel
drakes	?:Erpel
dram	?:Schluck
drama	?:Drama
dramamine	?:Dimenhydrinat
dramas	?:Dramen
dramatic	?:Theater…
dramatically	?:extrem
dramatics	?:Theater
dramatisation	?:Dramatisierung
dramatised	?:dramatisiert
dramatising	?:dramatisierend
dramatist	?:Dramatiker
dramatists	?:Dramatiker
dramatization	?:Dramatisierung
dramatize	?:etw. dramatisieren
dramatized	?:dramatisiert
dramatizing	?:dramatisierend
dramaturgic	?:dramaturgisch
dramaturgy	?:Dramaturgie
dramedy	?:Dramödie
drape	?:Fall
draped	?:gehüllt
draper	?:Textilkaufmann
draper's	?:Textilgeschäft
draperies	?:Vorhang-Seitenteile
drapers	?:Textilkaufmänner
drapery	?:Faltenwurf
drapes	?:Vorhänge
draping	?:drapierend
drastic	?:drastisch
drastically	?:drastisch
draught	?:Zug
draught-prone	?:dürregefährdet
draught-proofing	?:Abdichten gegen Zugluft
draught-stop	?:Windschott
draughtboard	?:Damebrett
draughtboards	?:Damebretter
draughts	?:Dame
draughtsman	?:Zeichner
draughtsmans	?:Konstrukteure
draughtsmanship	?:Zeichenkunst
draughtsmen	?:technische Zeichner
draughtsperson	?:technischer Zeichner
draughtspersons	?:Konstruktionszeichner
draughtswoman	?:Zeichnerin
draughtswomen	?:Zeichnerinnen
draughty	?:zugig
drava	?:Drau
drave	?:Drau
dravidian	?:dravidisch
draw	?:Zug
draw-hook	?:Zughaken
draw-off	?:Entnahme
draw-pull	?:Einschubführung
drawable	?:ziehbar
drawback	?:Nachteil
drawbacks	?:Nachteile
drawbar	?:Deichsel
drawbars	?:Deichseln
drawbridge	?:Zugbrücke
drawbridges	?:Zugbrücken
drawcord	?:Zugschnur
drawdown	?:Abzug
drawee	?:Bezogene
drawees	?:Trassaten
drawer	?:Schublade
drawers	?:Laden
drawhole	?:Rolle
drawing	?:Zeichnen
drawing-room	?:Salon
drawing-up	?:Erstellen
drawings	?:Zeichnungen
drawknife	?:Abziehmesser
drawknives	?:Abziehmesser
drawl	?:affektiert sprechen
drawled	?:affektiert gesprochen
drawling	?:affektiert sprechend
drawn	?:gezogen
drawn-in	?:eingezogen
drawrock	?:brüchiges Deckgebirge
draws	?:Züge
drawstop	?:Registerzug
drawstring	?:Vorhangschnur
drawstrings	?:Zugleinen
dray	?:Bierwagen
drayage	?:Rollgeld
drays	?:Tafelwagen
dread	?:große Furcht
dreadful	?:schrecklich
dreadfully	?:schrecklich
dreadfulness	?:Ungeheuerlichkeit
dreadlocks	?:Rastalocken
dreadnought	?:Schlachtschiff
dreadnoughts	?:Schlachtschiffe
dreads	?:Rastalocken
dream	?:Traum
dream-like	?:traumartig
dream-symbolism	?:Traumsymbolik
dreamboat	?:Traumfrau
dreamcatcher	?:Traumfänger
dreamed	?:geträumt
dreamer	?:Träumer
dreamers	?:Träumer
dreamful	?:träumerisch
dreamfully	?:traumhaft
dreamier	?:träumerischer
dreamiest	?:am träumerischsten
dreamily	?:traumhaft
dreaminess	?:Verträumtheit
dreaming	?:träumend
dreamland	?:Traumland
dreamlands	?:Traumländer
dreamless	?:traumlos
dreamlike	?:Traum…
dreams	?:Träume
dreamt	?:geträumt
dreamy	?:verträumt
drearier	?:trostloser
dreariest	?:am trostlosesten
drearily	?:trostlos
dreariness	?:Grau in Grau
dreary	?:öde
dreck	?:Mist
dredge	?:dreggen
dredged	?:ausgebaggert
dredger	?:Bagger
dredgers	?:Bagger
dredging	?:Ausbaggern
dregs	?:Satz
dreich	?:düster
dreikanter	?:Dreikanter
drenched	?:durchnässt
drenches	?:durchnässt
drenching	?:durchnässend
dresden	?:Dresden
dress	?:richten
dress-accessories	?:Kleidungszubehör
dress-slit	?:Kleiderschlitz
dressage	?:Dressur
dressed	?:zog an
dressed-down	?:lässig
dressed-up	?:geschniegelt
dresser	?:Kommode
dressers	?:Kommoden
dresses	?:zieht an
dressform	?:Schneiderpuppe
dressforms	?:Schneiderpuppen
dressier	?:feiner
dressiest	?:am feinsten
dressiness	?:Eleganz
dressing	?:Verband
dressings	?:Salatsoßen
dressmaker	?:Damenschneider
dressmakers	?:Damenschneider
dressmaking	?:Schneidern
dressy	?:fein
drew	?:zeichnete an
drey	?:Kobel
dribble	?:Blutgerinnsel
dribbled	?:beträufelt
dribbles	?:sabbert
dribbling	?:Dribbling
dribblings	?:Dribblings
driblet	?:Tröpfchen
driblets	?:Tröpfchen
dried	?:getrocknet
dried-salted	?:gepökelt
drier	?:trockener
driers	?:Wäschetrockner
dries	?:Trockenheit
driest	?:am trockensten
drift	?:Strecke
drifted	?:getrieben
drifter	?:Bummler
drifters	?:Bummler
drifting	?:abweichend
driftnet	?:Treibnetz
drifts	?:treibt dahin
driftway	?:Flözstrecke
driftwood	?:Treibholz
drill	?:Übung
drill-log	?:Schichtenverzeichnis
drillability	?:Bohrbarkeit
drilled	?:gründlich ausgebildet
driller	?:Bohrarbeiter
drillers	?:Bohrarbeiter
drilling	?:Bohren
drillmaster	?:Ausbilder
drillmasters	?:Ausbilder
drills	?:Bohrer
drily	?:trocken
drink	?:trinken
drink-driving	?:Trunkenheit am Steuer
drinkable	?:trinkbar
drinking	?:trinkend
drinking-horn	?:Trinkhorn
drinks	?:Getränke
drip	?:tropfen
driping	?:träufelnd
dripped	?:tropfte
dripping	?:triefend
drippings	?:Bratenfett
drips	?:tropft
dripstone	?:Filterstein
dripstones	?:Wasserablaufnasen
drive	?:Aktion
drive-in	?:Drive-in-Restaurant
drive-through	?:Drive-in-Restaurant
drive-thru	?:Drive-in-Restaurant
drivebelt	?:Antriebsriemen
drivebelts	?:Antriebsriemen
drivegear	?:Antriebszahnrad
drivegears	?:Antriebszahnräder
drivel	?:Blödsinn
driveled	?:herumgefaselt
driveler	?:dummer Schwätzer
drivelers	?:dumme Schwätzer
driveline	?:Kraftübertragung
drivelines	?:Antriebssysteme
driveling	?:herumfaselnd
driveller	?:dummer Schwätzer
drivellers	?:dumme Schwätzer
drivels	?:sabbert
driven	?:gefahren
driveplate	?:Zahnkranzscheibe
driver	?:Fahrer
drivers	?:Fahrer
drives	?:Tunnel
drivetrain	?:Antriebsstrang
driveway	?:Einfahrt
driving	?:stark
drizzle	?:Nieselregen
drizzled	?:beträufelt
drizzling	?:feiner Regen
drizzly	?:nieselnd
drogue	?:Bremsfallschirm
drogues	?:Bremsfallschirme
droll	?:lustig
drollness	?:Drolligkeit
drolly	?:lustig
dromedary	?:Arabisches Kamel
dromochrone	?:dromochron
dromotropic	?:die Reizleitung des Herzens beeinflussend
drone	?:Summen
droned	?:eintönig geredet
drones	?:Drohnen
droning	?:dröhnend
dronne	?:Dronne
droodle	?:Drudel
drool	?:Matsch
drooled	?:gegiert
drooling	?:gierend
drools	?:sabbert
droop	?:sinken
drooped	?:gesunken
drooping	?:sinkend
droopy	?:hängend
drop	?:Fallen
drop-crotching	?:Kroneneinkürzung
drop-dead	?:atemberaubend
drop-forge	?:gesenkschmieden
drop-in	?:Störsignal
drop-in-range	?:Herdplatte
drop-out	?:Aussetzer
drop-shaped	?:tropfenförmig
drop-shipping	?:Streckenhandel
drophole	?:Rolle
droplet	?:Tröpfchen
droplets	?:Tröpfchen
dropout	?:Aussteiger
dropouts	?:Aussteiger
dropped	?:gefallen
dropper	?:Hänger
dropping	?:Wurf
droppings	?:Mist
droprenilamine	?:Droprenilamin
drops	?:fällt
dropsical	?:wassersüchtig
dropstone	?:Tropfstein
dropsy	?:Wassersucht
dropwort	?:Klein-Mädesüß
dross	?:Mist
drossier	?:schlackiger
drossiest	?:am schlackigsten
drossiness	?:Wertlosigkeit
drossy	?:schlackig
drostanolone	?:Drostanolon
drought	?:Dürre
drought-resistant	?:trockenresistent
drought-tolerant	?:trockenverträglich
droughts	?:Dürren
droughty	?:niederschlagsarm
drove	?:Herde
drover	?:Treiber
drovers	?:Treiber
droves	?:Herden
drown	?:ertrinken
drowned	?:ertrunken
drowning	?:Ertrinken
drowns	?:ertränkt
drowse	?:dösen
drowsier	?:schlaftrunkener
drowsiest	?:am schlaftrunkesten
drowsily	?:schläfrig
drowsiness	?:Trägheit
drowsy	?:schläfrig
drub	?:in Grund und Boden spielen
drubbed	?:geschlagen
