woordenboek	n:dictionary
linkerkant	n:left-hand side
rechterkant	n:right-hand side
helemaal	adv:completely
afslag	n:exit turn
politiebureau	n:police station
postkantoor	n:post office
cools	n:a surname|adj:partitive of cool
sleets	adj:hoary
liever	adj:genitive plural|adv:rather
schoonmaken	v:to clean
verven	v:to paint
bestaan	n:existence|v:to exist
skelet	n:skeleton
geraamte	n:skeleton
violist	n:violinist
boekwinkel	n:bookshop
boekhandel	n:bookshop
kledingzaak	n:clothes shop
warenhuis	n:a department store
schoenwinkel	n:shoe shop
sportwinkel	n:sports shop
schoen	n:shoe
overhemd	n:shirt
stropdas	n:necktie
horloge	n:watch
oorbel	n:earring
schilderij	n:painting
schilderen	v:to paint
komisch	adj:comic
cahier	n:notebook
waarschuwen	v:to warn
buschauffeur	n:bus driver
afstempelen	v:to stamp
treinkaart	n:train ticket
kaartje	n:ticket
ns-station	n:train station
geldig	adj:valid
enkeltje	n:one-way ticket
loket	n:a ticket window
volgend	adj:following
wisselgeld	n:bargaining chip
vul	v:imperative
juist	adj:right|adv:just
fietsenstalling	n:a shed
telefooncel	n:telephone box
bushalte	n:bus stop
hester	n:a female given name
wisselkantoor	n:bureau de change
tijdschrift	n:magazine
wisselen	v:to vary
ingang	n:entrance
uitgang	n:exit
herhaling	n:repetition
herhalen	v:to repeat
jongeling	n:young man
individualist	n:an individualist
inhaler	n:inhaler
megawatt	n:megawatt
lactase	n:lactase
paren	v:to pair
parodie	n:parody
laven	v:to quench one's thirst
pasen	n:Easter|v:to give
pasten	v:plural past indicative
loe	n:weak coffee
lockdown	n:lockdown
maud	n:a female given name
jonas	n:Jonah
planten	v:to plant
premie	n:a prize
amusant	adj:entertaining
waterbed	n:waterbed
maten	v:plural past indicative
ordenen	v:to bring into order
rapen	v:to gather
raspen	v:to grate
reclame	n:publicity
regentes	n:regentess
remedie	n:remedy
rente	n:interest
repte	v:singular past indicative
segment	n:a segment
ronden	v:to make round
roten	v:to ret
talen	v:to say
testen	v:to test
tilden	v:plural past indicative
tiran	n:tyrant
tomen	v:to rein in
tornen	v:to impinge on something.
subsidie	n:a subsidy
trillen	v:to vibrate
turnen	v:to do gymnastics
valide	adj:valid
valse	adj:plural attributive
varen	n:fern|v:to travel over land
vele	?:many
velen	v:to endure|?:many
vete	n:feud
visite	n:visit
waxen	v:to wax
viste	v:singular past indicative
piet	n:VIP
edelweiss	n:edelweiss
charme	n:charm
geste	n:gesture
bagage	n:baggage
planter	n:a planter
carrière	n:career
verhaaltje	n:tale
revue	n:revue
infra-	?:infra-
wending	n:turn
rol	n:role|v:imperative
vriendin	n:female friend
cancan	n:cancan
naomi	n:Naomi
nathalie	n:a female given name
wonen	v:to live
heerlijk	adj:delicious
platteland	n:country
jens	n:a male given name
vanwege	prep:because of
bedrijf	n:business|v:imperative
moest	adj:superlative degree of moe
ontwerper	n:designer
heroïne	n:heroin
rijtuig	n:a carriage or coach
gids	n:guide
biefstuk	n:beefsteak
eigenlijk	adj:actual|adv:actually
nagerecht	n:dessert
voorgerecht	n:a starter
hoofdgerecht	n:a main course
toetje	n:dessert
verslapen	v:to oversleep
tessa	n:a female given name
figurant	n:extra
jakob	n:Jacob
manier	n:way
verloren	v:plural past indicative
terreur	n:terror
ordinaire	adj:plural attributive
vandalisme	n:vandalism
mislukkeling	n:failure
vertaler	n:translator
trut	n:bitch
alm	n:alpine pasture
hubert	n:a male given name
ambassade	n:an embassy
zo'n	?:such a
opvallen	v:to stand out
verklaren	v:to explain
paradigma	n:exemplar
betel	n:betel
hens	n:only used in in de hens
gade	n:spouse
boobytrap	n:booby trap
bbb	n:Farmer–Citizen Movement
pruik	n:wig
adem	n:breath|v:imperative
rijbewijs	n:driver's license
loterij	n:lottery
terrasje	n:outdoor café
opdracht	n:task
eerder	n:one who pays honor|adj:earlier|adv:earlier
elkaar	?:each other
voornaamwoord	n:pronoun
onzijdig	adj:neutral
vrouwelijk	adj:feminine
kerstmis	n:Christmas
onderwijs	n:education|v:imperative
allemaal	?:all
vanochtend	adv:this morning
vanmiddag	adv:this afternoon
vanavond	adv:tonight
mobiel	n:a mobile|adj:mobile
telefoontje	n:telephone conversation
meteen	adv:immediately
vorig	adj:previous
vorige	adj:indefinite plural
gauw	adv:quickly
inlichtingen	n:information
verlichting	n:lighting
fiets	n:bicycle|v:imperative
stationsgebouw	n:station building
bushokje	n:bus shelter
spaarpot	n:piggy bank
blijken	v:to turn out
volkomen	adj:complete|adv:completely
verbeteren	v:to improve
verbetering	n:an improvement
centrifuge	n:centrifuge
dief	n:a thief
inschenken	v:to pour
vlucht	n:flight|v:imperative
aantal	n:countable amount
leeuwin	n:lioness
leeuwenhoek	n:a neighborhood of Leiden
bijwoord	n:adverb
waarover	adv:+ wat
waaraan	adv:+ wat
waarvan	adv:+ wat; of which
waaruit	adv:+ wat
betrouwbaar	adj:trustworthy
waarmee	adv:+ wat
afronden	v:to round up
jaarverslag	n:annual report
publiceren	v:to publish
vergadering	n:meeting
vergaderen	v:to gather together
relatie	n:relation
zakenrelatie	n:business relation
zoveel	?:so many
ernaar	adv:+ het
eraan	adv:+ het
ermee	adv:+ het (“with it”)
eronder	adv:+ het
erbij	adv:+ het
cijfer	n:digit|v:imperative
hekel	n:a hatred
ervan	adv:+ het
erop	adv:+ het
intuïtie	n:intuition
besteden	v:to match for a job
daarvan	adv:+ dat
daarop	adv:+ dat
zekerheid	n:certainty
tegenwoordig	adj:present (in time)|adv:nowadays
omdat	?:because
bericht	n:message|v:imperative
vergeleken	v:plural past indicative
vooral	adv:especially
althans	adv:at least
bijbel	n:bible
mannelijk	adj:manly
letterkunde	n:literature
natuurkunde	n:physics
sterrenkunde	n:astronomy
medicijn	n:medicine
franco	n:a surname from Spanish
humanist	n:humanist
merk	n:mark|v:imperative
leopold	n:a male given name
cornelia	n:a female given name
confucius	n:Confucius
hotelier	n:hotelier
koninklijk	adj:royal|adv:royally
woede	n:anger
esthetica	n:aesthetic
hypnose	n:hypnosis
novelle	n:a short novel
des-	?:des-
legering	n:alloy
vore	n:furrow
bretons	adj:Breton
tautologie	n:tautology
balling	n:exile
plundering	n:looting
redding	n:rescue
nano-ohm	n:nano-ohm: 10⁻⁹ ohm
micro-ohm	n:microohm: 10⁻⁶ ohm
kilo-ohm	n:kiloohm: one thousand ohm
pico-ohm	n:pico-ohm: 10⁻¹² ohm
supercomputer	n:a supercomputer
conservator	n:curator
brigadier	n:constable
taiga	n:taiga
poot	n:leg or foot|v:imperative
rende	v:singular past indicative
dra	adv:soon
slagen	v:to succeed
regel	n:line of writing|v:imperative
vort	adj:gone|adv:informal form of voort|?:go! move!
conjunctie	n:syzygy
radicaal	n:radical|adj:radical
al-	?:all-
legio	n:a multitude|adj:legion
politiek	n:politics|adj:political
petto	n:only used in in petto
verstaan	v:to understand (language
cursus	n:an educational course
joachim	n:a male given name
floret	n:foil
volle	adj:plural attributive
tondeuse	n:hair clipper
heit	n:dad|v:plural imperative
oer	n:ferrous ground
stik	v:imperative|?:drat
hiel	n:heel
serendipiteit	n:serendipity
koers	n:a course of action
triplex	adj:threefold
vaardigheid	n:skill
onderhandelen	v:to negotiate
voordeel	n:advantage
nadeel	n:disadvantage
jezelf	?:yourself
mijzelf	?:myself
basisschool	n:elementary school (US)
lesgeven	v:to teach in class
mezelf	?:myself
dezelfde	?:the same
voldoening	n:satisfaction
uitstellen	v:to postpone
mogelijkheid	n:possibility
alvast	adv:already
tevens	adv:at the same time
onmogelijk	adj:impossible
bepalen	v:to limit oneself
besluiten	v:to decide
uiteindelijk	adj:eventual|adv:in the end
functie	n:job
sollicitatie	n:job application
inleveren	v:to turn in
aanraden	v:to suggest
raden	v:to guess
rade	n:dative singular of raad
muf	adj:stale
golgotha	n:Golgotha
luister	n:lustre/luster|v:imperative
-o-	?:-o-
radio-	?:radio-
voltijds	adj:full-time|adv:full-time
deeltijds	adj:part-time|adv:part-time
oplossing	n:solution
bestand	n:archive|adj:capable of withstanding
goh	?:gosh
redelijk	adj:reasonable|adv:reasonably
heen	n:sea clubrush|adv:away
huisarts	n:general practitioner
spreekkamer	n:a doctor's office
voorstellen	v:to present
bezig	adj:busy
stoer	adj:firm|?:cool
hè	?:huh
sturen	v:to send
stuur	n:a steering device|v:imperative
duizeligheid	n:dizziness
valt	v:plural imperative
ines	n:a female given name
terugkomen	v:to be echoed in
röntgenfoto	n:radiograph
uitslag	n:result
jeuken	v:to itch
waterpokken	n:chicken pox
besmettelijk	adj:contagious
jeuk	n:an itch|v:imperative
recept	n:recipe
zalf	n:salve|v:imperative
112	n:112
orchidee	n:synonym of orchis
buis	n:pipe|v:imperative
digitale	adj:plural attributive
allerlei	?:all kinds of
aandacht	n:attention
radeloos	adj:desperate
behandeling	n:judicial treatment
lichamelijk	adj:physical
zeuren	v:to persist
achtereen	adv:in succession
plek	n:spot
boem	?:boom
naïef	adj:naive
discotheek	n:discotheque
spreek	v:imperative
vluchten	v:to flee
gevlucht	n:a sail cross
zowat	adv:just about
zelfs	adv:even
hartstikke	adv:very
waarop	adv:+ wat
waaronder	adv:+ wat
afleveren	v:to deliver
tijdstip	n:moment in time
koop	n:a purchase|v:imperative
bedenken	v:to think of
aanbieding	n:offer
bevrijding	n:liberation
bevrijden	v:to liberate
supermarkt	n:supermarket
rustig	adj:calm|adv:calmly
tenminste	adv:at least
koelkast	n:a refrigerator
uitsparen	v:to leave a hole or space
internetten	v:to use the internet
computeren	v:to use the computer
belastingformulier	n:tax form
belasting	n:strain
belasten	v:to charge (e.g. taxes)
goeie	adj:plural attributive|?:nice!
tuinieren	v:to garden
camelia	n:a camellia
baco	n:a rum and coke
trouwens	adv:besides
bovendien	adv:moreover
daarnaast	adv:+ dat
daarna	adv:+ dat; thereafter, afterwards
dierentuin	n:zoo
overig	adj:remaining
bezoeken	v:to visit
kletsen	v:to chat
onpersoonlijk	adj:impersonal
eenvoudig	adj:simple
vanaf	prep:starting from|?:away from
bezorgen	v:to provide
bevestiging	n:confirmation
bedrijven	v:to do
godsdienst	n:religion
vaker	adv:more often
bereiken	v:to achieve
afdeling	n:department
zowel	?:both
dwars	adj:in a crosswise direction
bedoelen	v:to mean
middeleeuws	adj:medieval
zeilboot	n:sailboat
spreekbeurt	n:oral presentation
verscheidene	adj:plural attributive|?:various
verschillende	v:plural attributive|adj:plural attributive
plaatselijk	adj:local
bepaald	adj:certain|adv:certainly
omgeving	n:surroundings
landelijk	adj:national
zender	n:sender
zogenaamd	adj:so-called|adv:supposedly
invloed	n:influence
blijkbaar	adj:evident|adv:apparently
hopelijk	adv:hopefully
beslist	v:plural imperative|adv:definitely
absoluut	adj:absolute
meestal	adv:most of the time
regelmatig	adj:regular
zelden	adv:rarely
lelijk	adj:ugly|adv:badly
integendeel	adv:on the contrary
rondleiding	n:guided tour
fietstocht	n:bike ride
jeugd	n:youth
onderaan	adv:at the bottom|prep:at the bottom of
bovenaan	adv:at the top|prep:at the top of
vrolijk	n:a surname|adj:cheerful
overigens	adv:besides
toen	adv:then|?:when
buitenland	n:all foreign countries
binnenland	n:inland
openbaar	v:imperative|adj:public
trouw	n:loyalty|v:imperative|adj:true
aten	v:plural past indicative
gelul	n:bullshit
geweld	n:violence
stompzinnig	adj:stupid
maatschappij	n:company
stiekem	adj:secretive|adv:secretly
luchtmacht	n:airforce
passen	v:to give
gebruiker	n:user
goedemorgen	?:good morning
slikken	v:to swallow
fors	adj:stout|adv:strongly
verzekering	n:insurance
illuster	adj:illustrious
verzekeren	v:to assure
vergelijk	v:imperative
verkiezing	n:election
zetel	n:chair|v:imperative
waardoor	adv:+ wat
verkiezen	v:to prefer
aanklagen	v:to denounce
meest	adv:mostly|?:most
ridder	n:knight|v:imperative
serieus	adj:serious
overwegen	v:to consider
overweegt	v:plural imperative
formeren	v:to form
concurrentie	n:competition
zegt	v:plural imperative
uitsluiten	v:to exclude
braziliaans	adj:Brazilian
schnitzel	n:schnitzel
invloedrijk	adj:influential
erkend	adj:acknowledged
liefhebber	n:fan
bisschop	n:bishop
berlijn	n:Berlin
geregeld	adj:regular|adv:regularly
commentaar	n:commentary
geval	n:case
begroting	n:a budget
vorming	n:formation
overleg	n:talks|v:(“to discuss”):
partij	n:party|?:some
gesprek	n:talk
verslag	n:report
eindverslag	n:final report
indienen	v:to offer
dienst	n:service
taak	n:task
benoemen	v:to name
meerdere	n:someone higher in rank|adj:plural attributive|?:more
informateur	n:advisor
formateur	n:trainer
afloop	n:ending
beweging	n:movement
voldoende	n:passing grade|v:plural attributive|?:sufficient
beleid	n:policy
inzetten	v:to use
onderhandeling	n:negotiation
vreemdeling	n:stranger
vreemdelingenbeleid	n:immigration policy
verdeling	n:division
inkomensverdeling	n:income distribution
verschillend	adj:different
verschillen	v:to differ
recente	adj:plural attributive
bodywarmer	n:bodywarmer
poging	n:attempt
pogen	v:to attempt
maakte	v:singular past indicative
wetgeving	n:legislation
huwelijk	n:marriage
standpunt	n:standpoint
voorzitter	n:chairperson
tonen	v:to show
toonde	v:singular past indicative
bereidheid	n:willingness
betekenen	v:to mean
betekent	v:plural imperative
heersen	v:to rule
heerst	v:plural imperative
woning	n:house
onrecht	n:injustice|adj:incorrect
onrechte	adj:plural attributive
nood	n:emergency
huurwoning	n:tenement
wachtlijst	n:waiting list
lijst	n:list
slechts	adv:only
verhuizen	v:to move house
acuut	adj:acute|adv:acutely
zoekt	v:plural imperative
ministerie	n:ministry
blijkt	v:plural imperative
organisatie	n:an organization
frons	n:a frown
inschrijven	v:to register
aanmelden	v:to apply
strategische	adj:plural attributive
strategisch	adj:strategic
wachttijd	n:waiting time
oplopen	v:to increase
hartman	n:Hartman: a surname
passant	n:passer-by
briefing	n:briefing
donder	n:thunder|v:imperative
bliksem	n:lightning|v:imperative
vlei	v:imperative
christiaan	n:a male given name
aangedaan	adj:touched
aanraking	n:touching
boodschap	n:message
meningsuiting	n:expression
democratie	n:democracy
bevochten	v:synonym of bevochtigen
beperken	v:to limit
beschaving	n:civilization
beledigen	v:to offend
onderstrepen	v:to underline
godsdienstvrijheid	n:freedom of religion
kwetsen	v:to hurt
oproepen	v:to call
waarde	n:value|v:singular past indicative|adj:plural attributive
omgaan	v:to go around
onontbeerlijk	adj:indispensable
wijsheid	n:wisdom
grondslag	n:foundation
geschieden	v:to occur
beschimpen	v:to abuse
beheerst	v:plural imperative|adj:restrained
onbeheerst	adj:unrestrained
schiet	v:imperative
doel	n:aim|v:imperative
wijzen	v:to point
opleggen	v:to put on
tolerantie	n:tolerance
erkenning	n:recognition
iemands	?:someone's
vergen	v:to ask
cultuur	n:culture
redetwisten	v:to argue
beheersen	v:to have mastery over
inspanning	n:effort
vereisen	v:to need
opvatting	n:concept
rekening	n:a calculation
geslaagd	adj:successful
bewaren	v:to guard
tegenstelling	n:opposition
oprecht	adj:sincere
zoektocht	n:search
verdraagzaam	adj:tolerant
samenleving	n:cohabitation
waarin	adv:+ wat
adagium	n:adage
interne	adj:indefinite plural
speciale	adj:plural attributive
skinhead	n:skinhead
raakte	v:singular past indicative
onbedoeld	adj:unintentional|adv:unintentionally
toedoen	n:help|v:to close
gesloten	adj:closed
buitensluiten	v:to shut out
kennelijk	adj:apparent|adv:apparently
brandweer	n:firefighting
verkleumd	adj:stiff/numb with cold
hoogwerker	n:aerial work platform
straf	n:a punishment|v:imperative|adj:heavy
voorkom	v:(“to prevent”):
helpt	v:plural imperative
terrine	n:terrine
verhalen	v:to narrate
waargebeurd	adj:real
visser	n:a fisher
slaat	v:plural imperative
overboord	adv:overboard
krab	n:crab|v:imperative
pinksteren	n:Pentecost
hgh	?:acronym of Hoe gaat het?
mee	adj:able to follow|adv:adverbial form of met
anton	n:a male given name
skateboarder	n:a skateboarder
inbox	n:inbox
magie	n:magic
militaire	adj:plural attributive
genève	n:Geneva
totale	adj:plural attributive
pel	v:imperative
metrum	n:metre
glim	v:imperative
vlaming	n:Fleming
nedersaksisch	n:the Low Saxon language|adj:Low Saxon
nederduits	n:Dutch|adj:Low German
nederlandstalig	adj:in the Dutch language
leeuwarden	n:Leeuwarden
cornelis	n:a male given name
baar	n:a bier|v:imperative|adj:said of money
moedertaal	n:mother tongue
amerikaanse	n:a female American|adj:plural attributive
ophangen	v:to hang up
zichzelf	?:oneself
executie	n:execution
nadoen	v:to imitate
jarige	adj:plural attributive
slaap	n:sleep|v:imperative
aantreffen	v:to find
stapelbed	n:bunkbed
genitaliën	n:genitals
meldden	v:plural past indicative
terechtstelling	n:execution
stelling	n:position
verdrijven	v:to while
gevecht	n:fight
verdreven	v:plural past indicative
iraaks	adj:Iraqi
iraakse	adj:plural attributive
vrezen	v:to fear
vreest	v:plural imperative
nieuwsgierig	adj:curious
vernemen	v:to learn (of)
kwaad	n:evil|adj:angry
kwade	adj:plural attributive
boze	adj:plural attributive
geschenk	n:gift
kerstgeschenk	n:Christmas gift
wereldoorlog	n:world war
uiting	n:expression
sfeer	n:sphere
voormalig	adj:former
voormalige	adj:plural attributive
molen	n:mill
papiermolen	n:paper mill
fabriek	n:factory
karton	n:cardboard
rondgang	n:a tour
watermolen	n:watermill
aandrijven	v:to drive
platte	adj:plural attributive
riem	n:belt
wolfs	n:a surname|adj:wolfish
maarten	n:a male given name
godverdomme	?:Goddamn!
poepen	v:to fuck
woningmarkt	n:housing market
vertonen	v:to show
vertoont	v:plural imperative
overspannenheid	n:emotional exhaustion
randstad	n:Randstad
verkoper	n:salesman|v:imperative
publiceerde	v:singular past indicative
vraagprijs	n:asking price
verkoopprijs	n:bidding price
verkoop	n:sale|v:imperative
kruipen	v:to creep
oorspronkelijk	adj:original
relatief	adj:relative|adv:relatively
relativiteit	n:relativity
leggen	v:to lay
lijden	n:suffering|v:to suffer
geleden	adv:ago
afdingen	v:to haggle
dingen	v:to solicit
lonen	v:to be rewarding
beloning	n:reward
loont	v:plural imperative
vereniging	n:association
verenigd	adj:united
verenigde	v:plural attributive|adj:plural attributive
makelaar	n:a broker
makelaardij	n:real estate agency
verhit	v:imperative|adj:fiery
oververhit	adj:overheated
dreigen	v:to be imminent
dreiging	n:threat
concluderen	v:to conclude
conclusie	n:conclusion
slinken	v:to shrink
aantonen	v:demonstrate
voegen	v:to place
bieden	v:to make an offer
gebieden	v:to be in command
slinkt	v:plural imperative
presentatie	n:presentation
representeren	v:to represent
representatief	adj:representative
voordoen	v:to occur
deelwoord	n:a participle
voltooid	adj:completed
onvoltooid	adj:unfinished
opvallend	adj:striking
vrijstaand	adj:free-standing
ligt	v:plural imperative
aanvankelijk	adj:initial|adv:initially
dreigend	adj:threatening
econoom	n:economist
werker	n:worker
arbeider	n:worker
krapte	n:shortage
daardoor	adv:+ dat
doordat	?:because
hypotheek	n:mortgage
hypotheekrente	n:mortgage interest
leegstaand	adj:empty-standing
koopwoning	n:self-owned house
verzadiging	n:saturation
verzadigen	v:to satisfy
bereikt	v:plural imperative
schaarste	n:scarcity
kandidaat	n:candidate
advies	n:advice
raad	n:an advice|v:imperative
meedoen	v:to take part
inschrijving	n:registration
voorbijganger	n:passer-by
martelaar	n:martyr
singlet	n:a singlet
offeren	v:to offer
politica	n:female politician
voorzetsel	n:preposition
coördinator	n:coordinator
voegwoord	n:conjunction
sociale	adj:plural attributive
ontdek	v:imperative
instelling	n:institution
klikken	v:to go well relationwise
lidwoord	n:article
spijkeren	v:to nail
bijspijkeren	v:to brush up
betaalbaar	adj:payable
inclusief	adj:inclusive|prep:including
klik	n:click|v:imperative
schoonheid	n:beauty
korting	n:discount
actueel	adj:current
ondergoed	n:underwear
sluit	v:imperative
tijdig	adj:timely
afsluiten	v:to close off
reisverzekering	n:travel insurance
korten	v:to reduce in money
kortaf	adj:abrupt
afvragen	v:to wonder
gezondheid	n:health|?:gesundheit
tafelen	v:to dine at (a) table
eerlijk	adj:honest
klant	n:customer
geschiedenis	n:history
simpele	adj:plural attributive
communicatie	n:communication
onderneming	n:venture
ondernemen	v:to undertake
voorgrond	n:foreground
vestiging	n:branch
aansluiten	v:to join
doelgroep	n:target group
werkzaam	adj:operative
geklets	n:waffle
hoofdstuk	n:chapter
zielig	adj:sad
zoute	adj:plural attributive
zoen	n:kiss|v:imperative
maalderij	n:millhouse
paardenstal	n:horse stable
inhoud	n:content
stomme	adj:plural attributive
bloeddruk	n:blood pressure
advertentie	n:advertisement
belang	n:interest
advocaat	n:attorney
schepper	n:creator
reclamebureau	n:advertising agency
verpakking	n:packaging
blijf	v:imperative
leunen	n:a village in Venray|v:to lean
kledingkast	n:wardrobe
voc	n:Dutch East India Company
bekend	adj:known
bekende	n:an acquaintance|v:plural attributive|adj:plural attributive
opwaarderen	v:to top up
waarderen	v:to appreciate
ontvangt	v:plural imperative
huidig	adj:current
betaalt	v:plural imperative
digitaal	adj:digital
afdrukken	v:to print
drukken	v:to press
beperkt	v:plural imperative|adj:restricted
webwinkel	n:online store
ouder	n:parent|adj:comparative degree of oud
liniaal	n:ruler
moord	n:murder|v:imperative
openlijk	adv:openly
terwijl	?:while
mits	?:provided that
raak	n:rake|v:imperative|adj:hitting
strijkijzer	n:iron
strijken	v:to lower
keten	n:chain
kleding	n:clothing
aankoop	n:purchase
uniek	adj:unique|adv:uniquely
meertalig	adj:multilingual
uitspraak	n:pronunciation
spraak	n:speech
waterval	n:waterfall
huisdier	n:domestic animal
omvatten	v:to include
bevelhebber	n:commander
bewerken	v:to work
trefwoord	n:entry
uitdrukken	v:to press out
verwijzing	n:reference
zodanig	adv:in such a way|?:such
wijzigen	v:to edit
modificeren	v:to modify
persagentschap	n:news agency
agentschap	n:agency
rimpel	n:wrinkle
schildpad	n:tortoise
reptiel	n:reptile
jezus	n:Jesus|?:Jesus
mozes	n:Moses
slavernij	n:slavery
theoloog	n:theologian
schrijver	n:writer
theologie	n:theology
dichter	n:poet
gedicht	n:poem
omroep	n:broadcaster
omroepen	v:to broadcast
eigenzinnig	adj:idiosyncratic
baksteen	n:brick
nederlandstalige	adj:plural attributive
vegetariër	n:a vegetarian
praat	n:talk|v:imperative
klagen	v:to complain
verfijnen	v:to refine
aanbieder	n:provider
heiligen	v:to hallow
editie	n:edition
blinken	v:to shine
barmhartige	adj:plural attributive
barmhartig	adj:merciful
verwijden	v:to widen
werkplek	n:workplace
tweetalig	adj:bilingual
invoeren	v:to introduce
voeren	n:a municipality of Limburg|v:to line
daarbij	adv:+ dat
vragenlijst	n:questionnaire
duurt	v:plural imperative
wensen	v:to wish
wenst	v:plural imperative
eiken	adj:oaken
plaatsen	v:to place
aanpassen	v:to change
afmeting	n:dimension
zorgeloos	adj:carefree
onderhoud	n:maintenance|v:(“to maintain”):
onderhouden	v:to maintain
waardering	n:appreciation
bewaar	v:imperative
meting	n:measurement
afhalen	v:to pick up
afkorten	v:to shorten
afmeten	v:to measure off
landbouw	n:agriculture
landbouwer	n:farmer
bouwer	n:builder
zaag	n:saw|v:imperative
kunstenaar	n:artist
scheikunde	n:chemistry
geneeskunde	n:medicine
beeldend	adj:visual
eer	n:honour|v:imperative|?:ere
aankijken	v:to look at
achting	n:regard
vermogen	n:ability|v:to be able to do
enkelvoud	n:singular
vervoegen	v:to join
aanzien	n:regard|v:to watch
aangezien	?:since
geslacht	n:sex
eigenschap	n:property
nogal	adv:rather
-air	?:-ary
lieveling	n:favorite
krachtig	adj:powerful|adv:powerfully
schijnt	v:plural imperative
oudst	adj:superlative degree of oud
liefst	adv:most preferably
verkrijgen	v:to obtain
navolgen	v:to succeed
aanduiden	v:to express
duiden	v:to point to
waarbij	adv:+ wat; whereby
voorop	adv:on/at the front|prep:on/at the front of
uitbeelding	n:portrayal
nagenoeg	adv:almost
vlak	n:a plain|v:imperative|adj:flat
vlakke	adj:plural attributive
bazen	v:to babble
bedoeling	n:intention
overzicht	n:synopsis
eigenaar	n:owner
tennissen	v:to play tennis
sporten	n:all etymologies
tennisser	n:tennis player
beroepsmatig	adj:professional
beoefen	v:imperative
sporter	n:one who plays a sport
haram	adj:haram
forse	adj:plural attributive
centiliter	n:centilitre
verschrikking	n:horror
rommel	n:junk|v:imperative
waardeloos	adj:worthless
waard	n:an innkeeper|adj:worth
handelswaar	n:merchandise
-schap	?:-ship
volwassen	adj:adult
geestelijk	adj:mental|adv:spiritually
geest	n:ghost
martinus	n:a male given name
raar	n:a hamlet in Meerssen|adj:strange
volgroeid	adj:full-grown
kenmerk	n:characteristic|v:imperative
verkennen	v:to explore
gevoelig	adj:sensitive
hierheen	adv:hither
pan	n:pan
stiletto	n:stiletto
daarheen	adv:thither
achtertuin	n:backyard
steunen	v:to support
uitgebreid	adj:vast|adv:extensively
uitbreiden	v:to extend
ondersteuning	n:support
winkelwagen	n:shopping cart
achtereind	n:rear end
schepen	n:alderman|v:to travel by ship
verblijven	v:to stay
enig	adj:only|?:some
toenemen	v:to increase
ophogen	v:to raise
hoger	adj:genitive plural
geblinddoekt	adj:blindfolded
koek	n:cookie
pannenkoek	n:pancake
koekhappen	n:bite-the-cake
concreet	adj:concrete
tastbaar	adj:tangible
herinnering	n:a memory
wijken	v:to yield
afgang	n:the act of descending
terugtrekken	v:to pull back
achteruitgaan	v:to decline
uitgaan	v:to go out
piepjong	adj:very young
piep	n:a peep|v:imperative|?:squeak
aanrander	n:assailant
aanranden	v:to assault sexually
joggen	v:to jog
gewenst	adj:wished for
ongewenst	adj:undesirable
elektronisch	adj:electronic
-isch	?:-ic
fantastisch	adj:fantastic
trimmen	v:to work out
bijknippen	v:to trim
aanspreken	v:to address
slachtoffer	n:victim
slacht	n:slaughter|v:imperative
slachten	v:to slaughter
negeren	v:to ignore
negeerde	v:singular past indicative
hierop	adv:+ dit
achtervolgen	v:to pursue
achtervolging	n:pursuit
stopte	v:singular past indicative
opmerking	n:remark
opmerken	v:to remark
daad	n:deed
ontstaan	v:to arise
beetpakken	v:to clutch
pakken	v:to get
trok	n:current of air
voorwerp	n:a physical object
wegvoeren	v:to carry away
modder	n:mud
onbepaald	adj:uncertain
meewerken	v:to cooperate
aanduiding	n:mark
geschiedt	v:plural imperative
genoemd	adj:said
gewild	adj:wanted
toestand	n:situation
situatie	n:situation
gewilde	v:plural attributive|adj:plural attributive
verkeren	v:to be found
handeling	n:act
handelen	v:to act
betasten	v:to feel
jerevan	n:Yerevan
lissabon	n:Lisbon
statie	n:train station
zicht	n:sight
yoghurt	n:yogurt
zeis	n:scythe
omstandigheid	n:circumstance
-ief	?:-ive
-tie	?:-tion
monorail	n:monorail
-loos	?:-less
-baar	?:-able
tinten	v:to tint
informeren	v:to inform
opsporen	v:to trace
verrassend	adj:surprising|adv:surprisingly
albanese	n:an Albanian woman|adj:plural attributive
cultus	n:cult
ontzaglijk	adj:enormous
natie	n:nation
vorst	n:a prince|v:plural imperative
glijden	v:to slide
hoogste	adj:plural attributive
gedeelte	n:part
schuin	v:imperative|adj:slanted|adv:diagonally
oppervlak	n:surface
opperen	v:to bring stones
wrijving	n:friction
wrijven	v:to rub
erover	adv:+ het
nauwelijks	adv:hardly
idioom	n:idiom
-lijks	?:-ly
tsaar	n:tsar
voorspelling	n:forecast
voorspellen	v:to predict
spellen	n:game in general|v:to spell
weersvoorspelling	n:weather forecast
verkeer	n:traffic|v:imperative
verkeersinformatie	n:traffic information
gladde	adj:plural attributive
gehoor	n:hearing
risico	n:risk
hemelvaart	n:Ascension Day
schorsen	v:to strip off bark
huiswerk	n:homework
latere	adj:plural attributive
laatste	adj:plural attributive
ordelijk	adj:neat
fatsoenlijk	adj:decent
aantekening	n:note
kapiteel	n:capital
koer	n:garden|v:imperative
hell	n:a hamlet in Putten
oké	adj:okay|?:OK
wijze	n:manner|adj:plural attributive
natuurijs	n:natural ice
getal	n:an expressed number
haak	n:hook|v:imperative
haken	v:to long strongly for
afzonderen	v:to isolate
bekendmaken	v:to announce
lieve	adj:plural attributive
