woordenboek	n:dictionary
room	n:cream
lob	n:lobe|v:imperative
sombrero	n:sombrero
hut	n:a small wooden shed
alligator	n:alligator
hobby	n:hobby
pen	n:a long feather of a bird
tin	n:tin
gun	v:imperative
amber	n:amber
caracal	n:caracal
minister	n:minister
sepia	n:cuttlefish
diesel	n:diesel
fascist	n:fascist
avocado	n:avocado
tortilla	n:tortilla
salsa	n:salsa
om	adj:convinced|adv:around|prep:around
episode	n:an episode
equinox	n:equinox
hazel	n:hazel
marina	n:common
hamster	n:hamster|v:imperative
replica	n:replica
safari	n:safari
brochure	n:a brochure
toilet	n:toilet
al	adv:already|?:all
bei	n:berry
del	n:dune valley
adel	n:nobility
ai	n:pale-throated sloth|?:expression of pain
vrij	n:a hamlet in Bergen|v:imperative|adj:free
wij	?:we
wei	n:serum
haar	n:hair|?:her
mijn	n:mine|?:my
god	n:god
bad	n:bath
kind	n:child
bal	n:testicle|v:imperative
ban	n:excommunication|v:imperative
barak	n:shed
beat	n:a beat
bed	n:bed
ns	n:Dutch railway company
talk	n:talc
song	n:song
zak	n:a pocket|v:imperative
bef	n:collar|v:imperative
begin	n:start|v:imperative
bel	n:bell|v:imperative
ben	v:imperative
benen	v:to walk in large strides|adj:made of bone
ver	adj:far|adv:far
vers	n:a verse|adj:fresh
verre	adj:plural attributive
look	n:a look
graffiti	n:graffiti
jargon	n:jargon
slang	n:snake
pedant	adj:pedantic
polder	n:polder
we	?:we
me	?:me
uwe	?:yours
taiwanese	n:Taiwanese woman|adj:plural attributive
talent	n:talent
graft	n:canal
handicap	n:disability
leg	n:a hamlet in Alphen-Chaam|v:imperative
angel	n:sting
imf	n:IMF
pizza	n:pizza
perfect	adj:perfect
slim	adj:intelligent
re	n:re
assam	n:Assam
hadj	n:hajj
piñata	n:piñata
pata	n:canvas shoe
gans	n:a goose|adv:entirely|?:whole
heel	v:imperative|adj:complete|adv:very
ottawa	n:Ottawa
boulevard	n:boulevard
zulu	n:police helicopter
zoom	n:edge|v:imperative
brasilia	n:Brasília (a municipality
do	n:do
chat	n:chat|v:imperative
turk	n:a Turkish person
ia	?:hee-haw
dia	n:slide
kali	n:river
tak	n:branch
hard	v:imperative|adj:hard|adv:fast
nada	?:nothing
transgender	n:a transgender person|adj:transgender
dada	n:dada|adj:bizarre|adv:away
dodo	n:dodo
wilde	n:savage|adj:plural attributive
train	v:imperative
rail	n:rail
winkel	n:shop|v:imperative
eventueel	adj:possible|adv:possibly
down	adj:down
mama	n:mama
palm	n:palm
lam	n:lamb|adj:lame
pin	n:peg|v:imperative
race	n:a speed contest|v:imperative
arts	n:physician
daar	adv:there|?:since
hier	adv:here
er	adv:there
facet	n:facet
advocate	n:lawyer
bent	v:are
bet	adv:better
bid	v:imperative
bind	v:imperative
bled	n:a metal strip with holes
breed	adj:broad
bust	v:plural imperative
dove	n:a deaf person|adj:plural attributive
drank	n:beverage
blond	adj:blond
blonde	adj:plural attributive
fit	adj:fit
account	n:a B2B-customer
dart	n:dart
gave	n:a gift|adj:plural attributive
went	v:plural imperative
held	n:hero
go	n:go
grind	n:gravel
hang	n:a hankering|v:imperative
have	n:property
hit	n:a hit song
heldin	n:heroine
input	n:input
keep	n:notch
knelt	v:plural imperative
continent	n:continent|adj:continent
let	n:Latvian|v:imperative
lied	n:song
natter	adj:comparative degree of nat
lost	v:plural imperative|adj:superlative degree of los
made	n:maggot
meet	v:imperative
met	n:mince|prep:with
cliché	n:a cliché
machine	n:machine
mal	n:mold|adj:foolish
sic	adv:sic
rake	adj:plural attributive
tractor	n:tractor
reactor	n:atomic reactor
actor	n:actor
factor	n:a factor
shirt	n:a T-shirt or other shirt
spelling	n:spelling
spelt	n:spelt|v:plural imperative
statement	n:statement
bug	n:a bug
brief	n:letter|v:imperative
boot	n:boat
camera	n:camera
business	n:business
crime	n:hassle
body	n:bodysuit
basket	n:basket
complex	n:complex|adj:complex
bridge	n:bridge|v:imperative
curve	n:curve: curved line
cell	n:cellular phone
sleep	n:dragging|v:imperative
prove	n:a gift out of love
put	n:pit|v:imperative
remake	n:remake
rode	adj:plural attributive
ring	n:ring
rang	n:rank
parasol	n:parasol
run	v:imperative
set	n:a set
ambivalent	adj:ambivalent
bourgeois	n:bourgeois
charlatan	n:charlatan
filibuster	n:a filibuster
dupe	n:victim
interest	n:interest
shot	n:shot
show	n:a show
smelt	v:imperative
spoken	v:to be stormy and wild
speed	n:amphetamines
spin	n:spider|v:imperative
spit	n:a skewer
spat	n:blowgun|v:imperative
split	n:split|v:imperative
stick	n:a hockey stick
stink	v:imperative
stank	n:stench
impact	n:impact
string	n:G-string
taken	v:to take
wake	n:a wake
woke	adj:woke
wed	n:ford|v:imperative
wet	n:law|v:imperative
wind	n:wind|v:imperative
era	n:era
concern	n:company
bi	adj:bisexual
bib	n:library
crush	v:imperative
bitter	n:bitters|adj:bitter
box	n:speaker
cement	n:cement
cake	n:pound cake
base	n:base (class of compounds)
cover	n:a cover
stork	n:synonym of ooievaar
basis	n:basis
relaxed	adj:relaxed
hebben	v:to have
worden	v:to become
microbe	n:microbe
vel	n:a skin|v:imperative
vendel	n:company
venen	v:to extract peat
ven	n:mere
russisch	n:Russian|adj:Russian
kek	adj:eye-catching
bol	n:a sphere|adj:convex
effect	n:effect
door	n:fool|adv:through|prep:through
flat	n:flat
piano	n:piano
crisis	n:crisis
octopus	n:octopus
penis	n:penis
rooster	n:grill|v:imperative
wisent	n:wisent
hare	?:hers
otter	n:Any otter.
lynx	n:lynx
marmot	n:marmot
laser	n:laser
modem	n:modem
ram	n:ram|v:imperative
bied	v:imperative
biet	n:beet
bil	n:a buttock
rood	n:the colour red|adj:red
sap	n:juice
list	n:a cunning plan
long	n:lung
high	adj:high
living	n:living room
plasma	n:plasma
house	n:house music
doctor	n:doctor
metal	n:metal
blade	n:a running blade
live	adj:live
guts	n:gouge|v:imperative
flow	n:rhythm
volume	n:volume
wow	?:wow
rotten	v:to rot
correct	adj:correct
meter	n:meter
pos	n:ruffe
lig	v:imperative
lift	n:a lift|v:imperative
klok	n:clock|v:imperative
klim	n:climb|v:imperative
ether	n:air
sorry	?:sorry
baron	n:baron
monarch	n:monarch
dictator	n:dictator
communist	n:communist
katana	n:a katana
san	n:san
bo	n:sandwich
display	n:display
attachment	n:attachment
k	n:king|?:nonstandard form of 'k
m	?:nonstandard form of 'm
t	n:rook|?:nonstandard form of 't
u	?:you
kolonie	n:colony
kudde	n:herd
meute	n:pack
stop	n:an action of stopping|v:imperative
nut	n:use|adj:useful
carburator	n:carburetor
mare	n:message
prefix	n:prefix|adj:fixed
gram	n:gram|adj:angry
integer	adj:honest
persen	v:to press tight
meer	n:lake|adv:anymore|?:more
peer	n:a pear
teen	n:toe
pet	n:cap|adj:bad
content	n:the content of a medium|adj:content(ed)
anime	n:anime
manga	n:manga
ceo	n:CEO
party	n:party
platform	n:a platform
plank	n:shelf
kin	n:chin
thermometer	n:thermometer
band	n:bond
hindi	n:Hindi
proton	n:proton
neutron	n:neutron
weer	n:weather|v:imperative|adv:again
hoop	n:a hope|v:imperative
pub	n:pub
harem	n:harem
heet	v:imperative|adj:hot
squash	v:imperative
gourmet	n:a kind of festive meal|v:imperative
tibet	n:Tibet
halm	n:haulm
etcetera	adv:et cetera
menu	n:menu
teek	n:tick
teken	n:sign|v:imperative
zien	v:to see
mop	n:a joke|v:imperative
mark	n:a march
raaf	n:raven
dump	v:imperative
community	n:community
sake	n:sake
wal	n:coast
want	n:a mitten|v:plural imperative|?:for
start	n:start|v:imperative
lekker	n:leaker|adj:having a nice taste
sofa	n:a couch
gender	n:gender
hem	n:a hamlet in Leeuwarden|?:him
masker	n:mask
massage	n:physical massage
masseur	n:masseur
masseuse	n:masseuse
slapen	v:to sleep
dank	n:gratitude|v:imperative
trein	n:train
laura	n:a female given name
amsterdam	n:Amsterdam Island
hart	n:heart
naam	n:name
non-	?:non-
arrogant	adj:arrogant
hun	n:a Hun|?:them, to them
landen	v:to land
brussels	adj:of
luik	n:hatch|v:imperative
leuven	n:a hamlet in West Betuwe
peen	n:carrot
lui	adj:lazy
luier	n:diaper|v:imperative|adj:comparative degree of lui
lies	n:the groin
kies	n:molar|v:imperative|adj:delicate
wier	n:seaweed|?:whose
mond	n:mouth
alert	adj:alert
wee	n:sorrow|adj:nauseating
penalty	n:penalty kick
ekster	n:Eurasian magpie
vietnamese	n:woman from Vietnam|adj:plural attributive
game	n:a video game|v:imperative
precedent	n:precedent
context	n:context
putter	n:a European goldfinch
paper	n:paper
file	n:traffic jam
image	n:image
help	v:imperative|?:help!
link	n:physical connection|adj:dangerous
vliegtuig	n:aeroplane
passage	n:a passage
memory	n:pelmanism
eng	n:a hamlet in Altena|adj:scary
las	n:joint|v:imperative
extreme	adj:plural attributive
nazi	n:Nazi
ruin	n:gelding
damp	n:vapour (UK)|v:imperative
dampen	v:to steam
host	n:host|v:plural imperative
sense	n:only used in sense maken
discreet	adj:discreet
kerf	n:a carve or groove|v:imperative
nuance	n:nuance
order	n:order
hanger	n:hanger
output	n:output
uh	?:er
oh	?:oh
ah	?:ah
ha	?:ha
kick	n:kick|v:imperative
rein	adj:clean
fier	adj:proud
bij	n:bee|adj:caught up|adv:alongside
bloed	n:blood|v:imperative
blut	adj:without money
wapen	n:weapon|v:imperative
ham	n:ham
vond	n:synonym of vondst
geven	v:to have a negative effect
jaguar	n:jaguar
onze	?:plural attributive of ons
