a	?:een
hooter	?:hoorn
hop	?:hop
hope	?:hoop
hopefully	?:hopelĳk
hops	?:hop
horde	?:bende
horizon	?:kim
horizontal	?:horizontaal
horn	?:hoorn
hornbeam	?:haagbeuk
hornet	?:horzel
horoscope	?:horoscoop
horrible	?:naar
horror	?:afschuw
horse	?:paard
horsepower	?:paardekracht
horseradish	?:mierikswortel
horseshoe	?:hoefĳzer
horsewoman	?:amazone
hospitable	?:herbergzaam
hospital	?:ziekenhuis
hospitality	?:gastvrĳheid
host	?:waard
hostage	?:garant
hostel	?:herberg
hostess	?:gastvrouw
hostile	?:vĳandig
hot	?:heet
hotchpotch	?:allegaartje
hotel	?:hotel
hour	?:uur
hour's	?:‐urig
houri	?:houri
hours'	?:‐urig
house	?:huis
housed	?:woonachtig
housefly	?:vlieg
housekeeper	?:huishoudster
housewife	?:huisvrouw
hovel	?:kot
hover	?:zweven
how	?:wat
however	?:maar
howl	?:huilen
hub	?:bus
huddle	?:samenleven
hue	?:nuance
hug	?:knuffelen
huge	?:geweldig
hull	?:bodem
hum	?:razen
human	?:menselĳk
humane	?:humaan
humanist	?:humanist
humble	?:onderdanig
humid	?:vochtig
humiliating	?:beschamend
humility	?:nederigheid
hummingbird	?:kolibrie
humor	?:humor
humour	?:humor
humourous	?:humoristisch
hump	?:bult
humus	?:humus
hunchback	?:gebochelde
hundred	?:honderd
hunger	?:honger
hungry	?:hongerig
hunt	?:jagen
hunter	?:jager
hurray	?:hoera
hurricane	?:orkaan
hurried	?:haastig
hurriedly	?:haastig
hurry	?:dringen
hurt	?:zeer doen
husband	?:man
husk	?:schaal
hustler	?:energiek iemand
hut	?:hut
hyaena	?:hyena
hybrid	?:bastaard‐
hygiene	?:hygiëne
hygienic	?:sanitair
hymn	?:hymne
hypnosis	?:hypnose
hypnotist	?:hypnotiseur
hypnotize	?:hypnotiseren
hypocrite	?:hypocriet
hypocritical	?:hypocriet
hypothesis	?:veronderstelling
hypothesize	?:veronderstellen
hypothetical	?:hypothetisch
hysteria	?:hysterie
hysterical	?:hysterisch
ibex	?:steenbok
ibis	?:ibis
ice	?:consumptie‐ĳs
iceberg	?:ĳsberg
icecream	?:consumptie‐ĳs
icing	?:glacé
icon	?:pictogram
iconoclasm	?:beeldenstorm
iconoclast	?:beeldenstormer
icy	?:ĳskoud
idea	?:idee
ideal	?:ideaal
idealist	?:idealist
identical	?:identiek
identify	?:identificeren
identity	?:identiteit
ideology	?:ideologie
idiocy	?:idiotie
idiom	?:taaleigen
idiot	?:idioot
